Tweets,Score
"@KoigoesB @dTnalakRiderSR because he put his anti-communism before nationalism and was being supported by the CIA. The same CIA, mind you, who ousted Marcos and is trying to oust duterte. I critically support Marcos and Digong because theyre anti-US, not cause theyre anti-communist  https://t.co/zNsj3YuLqI",1
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang nasa â‚±1.50-â‚±2 per dollar ang forex nung panahon ni Marcosâ€”ang totoo, â‚±3.91 per dollar ito nung siya'y naging pangulo at naging â‚±20.46 per dollar nung siya'y napatalsik.  #NeverAgain #NeverForget #OustDuterte",1
"Paulit ulit kayo, apologists , dilawan , dds , neveragain , neverforget, oustduterte , haciendamassacre , lugaw, ano pa? Wag nyo dito buhos, mag dota kayo tapos SEA SERVER, pasok lahat yang bars nyo don. Voice chat pa. Trashtalkan kayo don. G na!",1
Not gonna lie if BTS were Filipino they'd defo be #MarcosNotAHero #OustDuterte mode so think twice if you still support these two madmen,0
Di na ako tutulog ngayon ket mag OT ðŸ˜­,0
"REMEMBER OUR HISTORY. RESIST HISTORICAL NEGATION.  We, the UPV College of Arts and Sciences Student Council and our partner student councils and organizations, denounce the lies and assert the truths about Martial Law and the Marcos regime.  #NeverForget #NeverAgain #OustDuterte  https://t.co/eFf2p87tAW",1
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang Golden Age of PH ang panahon ni Marcosâ€”sa katunayan, nilubog niya sa utang ang ekonomiya natin.  #NeverAgain #NeverForget #OustDuterte",1
ingget ako sa ala king ðŸ˜­ðŸ˜­ðŸ˜­,0
yay dumating na yung mga hooks HAHAHAHA,0
@cjtabsss ???),0
Baka naibalik naman sa kanya lahat kaya ngayon ok na siya #NeverAgain #NeverForget #OustDuterte,0
"Ang sinungaling, kapatid ng magnanakaw.  #NeverAgain #NeverForget #MartialLaw  #OUSTDUTERTE   The liar is a brother to the thief.",1
Jak kayat ma-attach kenyayo,0
#NeverAgain to #MartialLaw  #OUSTDUTERTE,1
SA GENSHIN NA MISMO NANGGALING YAN HA! #NEVERAGAIN #NEVERFORGET #STOPTHEKILLINGS #MARCOSISNOTAHERO #OUSTDUTERTE  https://t.co/yYW2FjxPmL,0
"alzo di lang magbibigay ng historical context on marcosâ€™ martial law pero ididiscuss yung panitikan aspect nito kaya interesting  sa mga bet mag PS 21 pero di nakakuha slot , ito na ang primer niyo ðŸ¤©    https://t.co/SCfJExWVJR",1
skl ganda ng talk na to kasi makukuha natin first hand experience ng mga tao sa batas militar at lalo madedebunk yung sinasabing mas ginawang peaceful ng ML sa mindanao yung kalagayan ng workers at Lumad doon,1
tara na tara na tara na  https://t.co/SX0dU6zh2n   https://t.co/i6yVttTIup,0
"bump ko lang , at bat kailangan sumama sa pagkilos ngayong #NeverForget #NeverAgain   1-3 PM - Program at Quezon Hall 4-6 PM - Program @ Liwasang Bonifacio  3PM - @LFS_CSSP forum abt Literature during Martial Law &amp; stories from Sumifru worker and Lumad students!!",1
NEVER AGAIN TO MARTIAL LAW! OUST DUTERTE!  Read full statement:  https://t.co/D4Shk0wWxI  #DuterteWakasan  https://t.co/zazPG1TgTs,2
"Remember the drug war? Grabe, how a real problem like COVID-19 changed that narrative. Because the ""drug"" problem never existed (in that scale). He just made it up to win the presidency.  #OustDuterte #NoMoreMarcos #NeverAgain",1
BASAHIN ANG MYTH DEBUNKING INFOGRAPH ngayong anniv ng martial law! #NeverAgain #NeverForget #OustDuterte,1
@farc_13 meron me resources here if neeed az a nag 12 units at ngayon wala na ko maalala haha,0
@farc_13 nagspspan ka ba,0
: d,0
My stand will always be #NeverAgain #NeverForget #MarcosNotAHero #OustDuterte and #DapatSiLeni #LetLeniLead #IbalikAngAbsCbn #KapamilyaForeverâ¤ï¸ðŸ’šðŸ’™,1
"Lahat na ng ibang bansa ay mayroon nang face-to-face classes habang ang atin naman ay nagpapatuloy pa rin sa anti-mahirap na online setup. Tayo ay nahuhuli. Huwag hayaan na hanggang ganito na lamang, makiisa sa pagkilos at magpaorganisa! #LigtasNaBalikEskwela  #OustDuterte",1
"Sumama sa kilos portesta! Marcos, Duterte! Walang Pinagiba!   #NeverAgain #NeverForget #TuloyAngLaban #MarcosNotAHero #OustDuterte",2
"Sa ating paggunita ng anibersaryo ng Batas Militar ni Marcos ngayong araw, ating tunguhin ang parehong lansangang nagpabagsak sa kanyang diktadura.  #NeverAgain #NeverForget #TuloyAngLaban #MarcosNotAHero #OustDuterte  https://t.co/RE5mETe2N2",1
ðŸ¶  https://t.co/QTeJNNxLFu,0
#OustDuterte  https://t.co/vGuC0AYmrT,1
Tanginanyo asan na yung #OustDuterte  natin :(((,1
"@444kalia yeah, exactly.",0
"Mas mukha pang Presidente kesa sa Presidente ng Pilipinasnas, sa paguugali, pananalita, paninindigan. Lalong-lalo naman sa tindig, kagwapuhan at katalinuhan. #OUSTDUTERTE",1
"Yung ibang tao(not all):  1 nakiuso sa oust duterteðŸ’… 2 anti-dds as topic sa namayapang convoðŸ¥µ 3 bio eh â€œnot ddsâ€ naks personality na pala yonðŸ¤©  wag magbase sa uso at makisunod nlng sa majority. research ur own facts tsaka ka magdecide ng manok mo  anyways, not dds nga pala lol",1
HE REALLY DID SAY OUST DUTERTE ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1
Sharing this milestone to the Twitter world na tunay na nakawitness ng struggles ko na hindi pwede sa facebook!!  Thank you for keeping me sane! ðŸ¤ðŸ˜­  oust duterte cutie ðŸ¤ž  https://t.co/DEevxOJdjX,0
"kasamas and allies in Washington DC, thereâ€™s gonna be a vigil tomorrow night on the 49th anniversary of Martial Law in the Philippines, please attend if you canâ¤ï¸ðŸ‡µðŸ‡­ #OustDuterte @anakbayandc @dc_katarungan  https://t.co/CFEAkknM4X",1
This is why indifference is dangerous. Take a stand. Use your voice AND act â€” Register &amp; vote wisely! #OustDuterte #MarcosNotAHero #NeverForget #NeverAgain,0
@cheeesexz bat mas galit pa kayo kaysa sa akin ðŸ˜­ðŸ˜­ðŸ˜­,0
"kapagod today, monday na monday. hay. pero feeling ko OUST DUTERTE, DUQUE RESIGN lang magiging ok na ang lahat",1
"Kapag takot kang maiwan, learn to be the best version of yourself. Hindi kasi pwedeng takot kang maiwan tapos hindi mo naman binibigay sa partner mo yung deserve niya lol.",0
@ http_lhs Hays oust duterte talaga hahahah,1
Not our country's friend. We'll put Yang in the ICC list. #DUTERTEMANYAK #DUTERTERAPIST #DUTERTEYAKUZA #OUSTDUTERTE,2
@jm_lago TAMA HAHAHAHAHAHAHAHA #OUSTDUTERTE,2
"â€œAnd that's the truth!â€  â€” G. Toengi, Caroline Kennedy  #MarcosNotAHero #NeverForget #NeverAgain #NoToMarcos #DutertePalpak #DuterteWakasan #OustDuterte  https://t.co/eLUUWDLLSe",2
where can i get a chicken sandwich with a glazed donut for the bun,0
"The Filipino word ""trapo"" translated firstly means ""rag"". A cloth piece without corruption that dirtied its morals overtime. The human version are traditional politicians. Counting Pacquiao who also hates us #LGBTQIA+. #DUTERTEMANYAK #DUTERTERAPIST #DUTERTEYAKUZA #OUSTDUTERTE",1
Woohoo naglalabasan na sila ng baho!! I wonder kung Anong baho Ang ilalabas ni Dick during his 5years of being DUTERTE'S dog. #oustduterte #nodickgordon #Halalan2022,2
"Idioterte says he will probe the decades-clean humanitarian org, Philippine Red Cross. Yet Pharmally, a company with overpriced health products and members wanted by Taiwan authorities, has gov approval. #DUTERTEMANYAK #DUTERTERAPIST #DUTERTEYAKUZA #OUSTDUTERTE",2
invalidation in different forms lol,0
"pahanap po ng pakialam ko, lmaaaao.",1
Yawa exam napod.  #oustduterte Sala nis gobyerno yawa,1
@jgmagtibay happy birthdaaaaay  https://t.co/1dNMdWn3ad,0
&lt;3333,0
#NeverForget  #OustDuterte  https://t.co/k7euKxXUu0,1
"BTS didn't say ""Oust Duterte"" at the UNGA.  Absolutely unwatchable.",1
"@PhilippineStar @onenewsph Kung mahal nila ang bansa at gusto ng oust-duterte, sana pagbigyan muna nila Lacson, Isko, Pakyaw si Leni as unity candidate na tunay na opposition. Kahit ngayon lng. Please.",0
was lemonade nct 127 inspired by this  https://t.co/1czXzRQ20L,0
@BuzzFeed Michael on Champions was the worst,0
Shhh... #NeverAgain #Communists #npa #jomasison #DuterteCorrupt #DutertePanagutin #OustDuterte #dutertewakasan #sogiewhenNo  https://t.co/6lhQ2v6KY0,2
"Hindi hahayaan ng aming mga pahina na mapawalang-sala si Duterte sa kanyang mga krimen, at hindi hahayaan ng aming peryodismo ang pagbabago ng kasaysayan ng mga pasistang katulad nila ni Marcos.  #NeverForget #NeverAgain #OustDuterte",2
Dala namin ang galit ng mga naunang peryodistang nagtaguyod ng TInig ng Plaridel sa aming pagtuligsa sa kahindik-hindik na diktaduryang tinutuos ng bayan noon at ngayon.  #NeverForget #NeverAgain #OustDuterte  https://t.co/ZJryBqyYvU,1
Ano na?   Magpapalitan na lang ba tayo ng condolences araw araw o Oust Duterte Duque Resign na ba?   Tama na.,2
TAMA. REGISTER TO VOTE. OUST DUTERTE.,2
"MARCOS, DUTERTE, WALANG PINAG-IBA, PAREHONG TUTA, DIKTADOR, PASISTA!  #NeverForget #OustDuterte",2
"â€œWe will not just dream our goal without doing anything about it. We shall develop our talents, and gifts to the fullest, in order to serve you, our neighbor, and our country to the best of our abilities.â€   - Edgar Jopson 1966  #MartialLawCommemoration #OustDuterte  https://t.co/KAjm066L23",1
OUST DUTERTE GAGO IPALIT NYO SI NAMJOON JAN,0
"Hindi lahat nang pinapatalsik ay tamod, yung iba nasa pamahalaan.  Magparehistro at bumoto to get clear skin ! Periodt. ðŸ’… #OustDuterte #TRANSformTomorrow",1
@imkerwinking ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ OUST DUTERTE NA PARA MAKITA NA KITA ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1
wanna dye my hair :&lt;,0
"Mula kay Marcos Hanggang Duterte â€” Change Hasn't Come!  Walang pinag-iba ang Martial Law ni Marcos sa Tatlong Gyera na pinasinayaan ni Duterte â€” gyera kontra droga, martial law sa Mindanao at Anti-Terror Law!  #NeverAgain #MarcosNotAHero #OustDuterte  https://t.co/K5Ej3Mpl9R",1
@i4hyoma omg #OustDuterte,1
Ni hindi matumbasan ng pinagsama-samang tapyas ng budget para sa kaligtasan ng pagbabalik-eskwela ang 2022 budget para sa NTF-ELCAC!   #LigtasNaBalikEskwela  #AbolishNTFELCAC  #OustDuterte  https://t.co/kKO2rcajZB,1
"Mga Iskolar ng Bayan, kolektibong balikan ang kasaysayan at ilapat ang aral nito sa pagpapatuloy ng diwa ng pakikibaka!  Tuloy ang Laban!  Magkita-kita tayo bukas, Setyembre 21 (Martes), 8:00 PM!  #TuloyAngLaban #MarcosNotAHero #OustDuterte",1
"#TuloyAngLaban #MarcosNotAHero #OustDuterte | Ating muling gugunitain ang anibersaryo ng Batas Militar ng pasistang, mamamatay-taong si Marcos.   Bilang paraan ng pagtindig, iniimbitahan ang lahat na dumalo sa:  Martial Law Noon at Ngayon: A Round Table Discussion  https://t.co/vQC8d1zLtB",1
"ENGINEERS FIGHT BACK! Ang pag-alala sa diktadura ni Marcos ay paalala sa mga Ininhiyero ng Bayan sa mga pinapatay ng mga giyera ng rehimen at palpak na COVID response, at sa pangangailangang kumilos para labanan ito! Sumama sa pagkilos bukas! #NeverAgain #NeverForget #OustDuterte  https://t.co/Ym5gM8Ezlc",1
duterte massacre king!! wakasan na yan!! #MarcosNotAHero #OustDuterte,2
"oust duterte, stop the killings, ligtas na balik eskwela, defend ancestral land, change the system, turn this godforsaken nation inside out",2
@wynsennjesreel Ditmo HAHAHAHAHAHAH,0
Oust Duterte weather,1
"sus para lang masabing nakabalik na f2f kasi hiyang hiya na kayo na tayo na lang walang usad, kasi walang kwenta pandemic response nyo! #OustDuterte",2
Discussing SOGIE is terrorism now in fascist Duterte Philippines? I will pretend that I am surprised. #OustDuterte #AbolishTheAFP #AbolishThePNP,1
muntinlupa pala office ng zalora skskksksks anws ok lang,0
"charot lang Lord, oust Duterte muna tapos laban na",0
"Kaugnay nito, nananawagan kami para sa tulong pampinansyal na gagamitin sa transportasyon at iba pang mga gastusin. Ang anumang halaga ay malugod naming tatanggapin.  Maraming salamat! Makibaka para sa hustisya at laban sa bagong mukha ng pasista!  #MarcosNOTAHero #OustDuterte",1
@rossielav di ko na nga hinanapan explanation oks na yun enough na season1 hahahhahav,0
nasira nanaman eye glasses ko. pls lang timping timpi na q sa buhay,0
puro presentation ganap today anuna,0
@ABSCBNNews @jekkipascual Just reactivated mine.. Hope makatulong man lang  to oust Duterte by voting.!! Sana kayo  din.. Tayong lahat..,0
@cheeesexz @einyeels padala na lang dito tenks,0
@manilabulletin luh nakikisawsaw,0
"So true, bestie. #OustDuterte  https://t.co/QMooezDgMF",1
@rossielav truuuuu!!! parang low budget ver char dnjdjdjd baka may magalit,0
"kung usapin lang naman ng opisyal na pagtatawag ng ML, nangyari na siya sa mindanao.malawakan ang nangyaring panggigipit doon, lalo sa mga unyon at lumad  lagi tingnan ang materyal na nangyayari di kailangan nakasulat sa papel kung puro militar na ang nakaupo + malawakang pasismo",0
want q magwork sa zaloraaaaaaaaaaaa. feelinn ko pag end of season sale na laki ng discount ng zalora employee o kaya literal na free na lang yun for them.,0
yon,0
"bukod dito, kailangan natin ng klarong plano para sa #LigtasNaBalikEskwela. kung walang plano para sa mass testing at malawakang contract tracing, nilalagay lang tayo sa lalong mapanganib na sitwasyon.   #OustDuterte #AcademicBreakNow",1
also me nag ttwitter lang kesa mag basa ðŸ˜›,0
@farc_13 oks yung coffee place playlists orrr jazz na instrumental langg,0
gosh matatae ka nalang talaga kasi wala ka masasagot sa quiz huhuhu,0
@heersheymail #oustduterte HAHAHAHAHAHAHAHAH,1
"Kaya halika, samahan kami sa Liwasang Bonifacio sa Setyembre 21, 2021, 4 PM. Tama na! Wakasan na!   Bago 'yan, dumalo rin sa Quezon Hall UPD, 1 PM para tutulan ang UP Budget Cut at ang pagtanggal ng UP-DND Accord.  #NeverForget #NeverAgain #OustDuterte #DuterteWakasan",1
so deserve ko na mag shopee emz,0
"so proud, rush ppt plus technical diff earlier and we got the highest score!! ðŸ¥º",0
"""Oust Duterte"", pero Marcos candidacy enabler. Wews.",2
@SaltAndReality @1968Music @hcelizalde13 Kay Panelo po galing yung OustDuterte Matrix   na kasama si Hidylin Diaz.,0
@seeyalater615 oki. ilan po get nila?,0
@jwnagvn ang aga naman maghanap ng vit d,0
@callherkim_ okay po noted,0
"@1968Music @hcelizalde13 The De La Salle System is anti Duterte. Di ba sima pa La Salle sa ""Oust Duterte Matrix""?",1
"may pub release today ng orie,,, mag reg to oust duterte, eme",1
Lalabas din ang katotohanan. Matobato and LascaÃ±as are vindicated.  #StopTheKillingsPH #OustDuterte,1
@manilabulletin Kahit ano png sabihin nyo mga pu......ina nyong dilawan pag gising nyo araw araw hangang sa susunod na election si Duterte parin ang president at walang nangyari sa oust duterte nyo sa 6 years. Lumuha man kyo ng dugo tumumbling paulit ulit nga nga parin kyoðŸ˜œðŸ˜ðŸ¤ªðŸ˜›ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ’©ðŸ’©,2
where is yung bans mane,0
"Kakayahan ang pinag-uusapan, pero kahirapan ang pinag-sasabi?  Nasa tamang pag-iisip din ba itong kumag na ito?  #StopElectingIdiots #WeDeserveBetter #KeriNiLeni #SiLeniDapat #LetLeniLead #RegisterAndVote #RegisterAndVoteWisely #OUSTDUTERTENOW #Oustduterte2021 #OustDuterte",2
KAKAMISS SHUMAT ðŸ˜­,0
@MackinleyZamora @manilabulletin Ay? First time ba ni PRRD sumali sa mga high level discussion between presidents and other leaders sa buong mundo? Di mo alam ang mga televised meetings na pinag attend ni PRRD? Ay oo nga pala. Puro #OustDuterte #masstestingnow #DutertePalpak katangahan lang pala ang alam nyo ðŸ¤­,2
"lord bigyan mo ko ng patience pls,,, yung mga bata sa flight,, us2 ko na lang lumaho",0
"Because #OustDuterte has continually failed, #DontRunRody na lang. ðŸ¥±  https://t.co/MqDgDWeL7k",1
"@dzbb @jhomer_apresto Hoy? Oust duterte, yes! Pero sa vaccine at mask??! What??? Karen be? Karen? Hahahahaha LT mga anti-vaccine at mask whahahah",2
Sulong Mga Kasama  https://t.co/7FWRg81Jy7 via @FacebookWatch,0
"talo na nga si pacquiao sa huling laban niya sa boxing, matatalo pa siya sa candidacy niya sa pagka presidenteðŸ˜­",0
@R0SIEPREMACY say oust duterte fls,1
sobrang naiistress na ako HAHAHAHA manifest na lang oras oras HAHSHHAHA #oustduterte #tanginamobonggo #tanginamobriones,1
@npsinoy  https://t.co/U3dxdsHYeg,0
"diary ko twt acct ko kaya dito yung raw eme, mas maayos sa fb soon  powershare nalang po chz",0
"kaya kabataan, volunteer na tayo sa community organizing  https://t.co/vaeILw1ZKB  sumali sa kolektibang sumama sa pagpapatalsik kay Marcos noon  https://t.co/7H7wmcDuPU  at sumama sa pagkilos sa 21! 1-3 PM Program at Quezon Hall 4-6 PM Tama Na! Wakasan Na! @ Liwasang Bonifacio",1
ang statements ay nagiging powerful (revolutionary) kapag sinasabayan ito ng pagtatatag ng mga organisasyon na tumitindig laban sa pasismo at pinapalakas ang kanilang komunidad   at di siya madali kaya dapat nagpapakatatag tayo kasama ang mga kolektiba natin,0
"ang aking uncompromising take ko dito ay primarya ang on ground mass movement para hindi mamalagi ang mga diktador  kaya kung may hamon sa estudyante sa paggunita ng batas militar, kailangan sila dumikit sa mamamayan at nag oorganisa at nagpapakilos kasama nito",0
"pero sa experience kanina, napatanong nalang din ako ano ba dapat ginagawa ng estudyante para di na bumalik ang diktador? eh may certain unity naman na sa liberal na unibersidad na ayaw kay marcos (anlawak ng martial law mobs at noong nilibing si marcos)",1
Tangina war flashbacks nung elem days HHAHAHAHA. UMAGA PA AKO NATAE SA BRIEF KO TAPOS HAPON NA AKO NAGLINIS NG PWET KASE NAHIHIYA AKO MAGSABE AHHAHAA. KAYA ANG ENDING MATIGAS PA SA TUTONG YUNG TAE KO NOONG HAPON HAHAHAHAHAHAH,0
"pag-uwi ko, hiningian ako thoughts sa statement na ipopost ng isang student org para sa martial law. tinanong ko syempre kanino targeted ang post, sabi para sa students. oks naman content sabi sa dulo need patampukin ang historical thinking ganon para di na mamalagi ang dictator",1
"pagkatapos naman kasi paliwanagan naintindihan naman na pagpapalakas ng organisasyon ang magtutulak sa makabuluhang pagbabago. kaya nga g na g ang komyu mag-recruit at palawakin campaigns. altho di pa fully lahat anti-marcos (at anti-du30), arawan naman siya na struggle",2
point ko lang dito ay alam ng taong ginigipit sila - araw-araw nating karanasan ang dahas kung sa baril man yan o exploitation - ang putol ay pag-expose ng systematic niyang nature para makita na estado (at mga pangulo nitong burgesya) ang naghahasik ng malawakang dahas &amp; pasismo,1
noong tinanong namin ano ba nararanasan nilang pasismo ngayon di siya nagets noong una bago napaliwanag na panggigipit siya. tas don ang dami nila binahagi - sa pagkait ng ayuda at pagredtag sa community pantries. na-introduce lang sila salita na sinasaklaw lived experiences nila,1
more more latag kami ng datos abt batas militar. napnood nga rin nila interview ni Toni eh pero hindi nila takeaway don na mali siya. may benefit of the doubt pa na hopefully di niya sundan ginawa ng tatay niyang pumatay pero okay naman yung mga development projects,1
"aking eme sa essay writing sa toni/marcos, history, interview thing   narealize ko lang yung tinuro sa akin 2 yrs ago na ang gawaing propaganda ay hindi lang Arouse kundi Organize at Mobilize rin. kanina sa ed about Martial Law, nabanggit sa komyu na iboboto nila si Marcos  https://t.co/h53OgfMoPM",1
"Meanwhile, the vast proofs continue adding up against Duterte people. They will be jailed. #DUTERTEMANYAK #DUTERTERAPIST #DUTERTEYAKUZA #OUSTDUTERTE",2
ganto na itsura don ngayon ;-;,0
@farc_13 bet mo ba may lyrics o mas sound eme,0
"@AsakuraYoh00 Kapagod din kasi umasa sa wala - especially walang nangyari sa oust Duterte nila, then wala pa ding naanod na dolomite most of all lahat ng ill wishes nila kay TayPDuts walang nangyayari. Nagba-backfire pa nga sa kanila.  PS: tegi na din pala si Dinky Soliman, may she RIP",1
@john_raver san yannnb,0
puTANGINAAAA PAANO KAYO NAKAKAIPON NG 6 DIGITS!!!!!!!! Sa 5digits hirap pa ko,0
"i thought i packed everything â€¦ i was wrong ,, i knew i was going to forget sumn ðŸ˜­ðŸ˜­ðŸ˜­",0
@GisingPilipino @Jeymstejada95 @ogie_rosa of courses nag eenjoi kame. 5years n kayong umeefort mag oust duterte pero walang nangayre matatapos n lng ang term hahaha. . lage p kayo talunan sa eleksyon kaya happy kami sa pighati nyo. .iyak mga talunan,2
"@RosasXOso The La Salle Sytem is denouncing the Duterte Admin. Dinamay pa nga sila sa ""Oust Duterte Matrix"".",1
@Itssassagurl Alam na alam nya ihhhh,0
now say oust duterte next,1
thanks to mr. diy for some cute stuff literally obsessed miniso who? HAHAHAHA,0
"Lord, I just want to be with my family, healthy and strong ðŸ¥º Please have mercy on me, a sinner. #OustDuterte",1
"Filipino Moos!! Please, Let us all register to vote if eligible na tayo. We only have until the 30th before the registration ends! Exercise our right to vote and let us all uphold our freedom and democracy!! #RegisterToVote #Democracy #OustDuterte #MarcosNotAHero",1
if y'all wanna join a discussion on why we should oust duterte dm is ðŸ”‘  maganda at best pubberist po ang ating instru ngayong gabi clout tag @kiaramalig,1
bagal ng j&amp;t??? the fuck,0
Ok. You have the right to run for presidency pero dapat matutong tumanggap ng pagkatalo ha??,1
"Handa ka na ba para sa Day 2 ng back 2 skul ED Fest?  Ano nga ba ang mga dahilan sa likod ng kampanyang #OustDuterte? Alamin bukas, ika-2 ng hapon sa Ouster Primer.  Magpa-rehistro sa link na ito:  https://t.co/XD0ttUj90u.  #back2skulEDFest #SiyentistaNgBayanNgayonAyLumalaban  https://t.co/47UqrfELTK",0
"Ngunit ngayon ang panahong pinakamadali nang makumbinsi ang malawak na hanay ng masa na lagutin ang marahas na pamahalaan, â€˜pagkat wala nang mawawala sa ating ninakaw ang lahat-lahat na.   Basahin ang aming editoryal.  #OustDuterte",1
"Patunay lamang ito na walang pinagkaiba si Duterte kay Marcos, parehas na diktador at pasista na walang pakundangan sa karapatang pantao ng sambayanang Pilipino.  #AbolishNTFELCAC #DefundNTFELCAC #OUSTDUTERTE",2
#NeverAgain #OustDuterte,2
"di na nga ako mag babasa ng twitter serye,, lagi na lang ako naiiyak",0
sir quintos for literature and historical context of marcosâ€™ martial law  and two speakers - ka pj and lumad student - to speak about their experience of martial law in mindanao   join the talk!,0
#OustDuterte,1
badtrip ako. yung inaantay kong shopee order panget nung dumating puta,0
@goergeorwell ohmygad mejjh dndndndkjdkdk dun kasi sa pic deins naman,0
instant stonk  https://t.co/g6XqLejTHZ,1
@ManuelPSev @YesYesYo13 Sabay oust Duterte nnman yan malamang lamang. Sarap pagssapukin! ðŸ˜¡ðŸ˜’,0
@goergeorwell Huhhhhhhhhhhhhhhhhhhhhh kamuka ni ashton kutcher???? Huhhhhh,0
"And I have to put the amounts in USD because sovereign debt servicing is in USD.  Kaya din #NeverAgain - nobody should service a debt na di nya napakinabangan. We're suffering through that, bibigyan mo pa ba sakit ng ulo mga descendant mo?  Never. Again. #OustDuterte",1
#TatakMarcosMandarambong  #TatakMarcosSinungaling  #TatakMarcosMagnanakaw  #TatakMarcosMagnanakaw #TatakMarcosMamemeke  #NeverForget  #NeverAgain  #StopElectingmarcos  #WeDeserveBetter #KeriNiLeni  #SiLeniDapat  #LetLeniLead  #RegisterAndVote #RegisterAndVoteWisely #OustDuterte,2
"i was on concerta but that was TERRIBLE,, and so i switched to dexedrine which i thought was working but even with the dose increase,, itâ€™s shit ðŸ˜­ðŸ˜­ðŸ˜µâ€ðŸ’«ðŸ˜µâ€ðŸ’«",0
the way mineâ€™s not working even with the dose increase from months ago ðŸ™„,0
"Tangina niyo, gisingggg!!! Golden age pa nga lol. #NeverAgain",2
lisa lisa !! can you say #OustDuterte ?? ðŸ˜‡,2
"Canâ€™t really blame people for insisting on going out to work kahit masama na pakiramdam nila. Pag walang maasahan sa gobyerno, magkakanya kanya na lang mga tao. At the expense of their health &amp; people around them. I hope Dutae and his ilk suffers long and hard. #OustDuterte",1
@Sheaninaaa hindi ka na makakatakas hahahahahaha,0
"HAPPENING TODAY! Join us our  Kasama's in the UK as we commemorate the 49th Year of Martial Law Declaration.  TODAY - 2PM at the All Saint Church, Battersea, London, SW11 4BD. View the location using this link:   https://t.co/sht2wWrdXF  #NeverAgain #MartialLaw #OustDuterte  https://t.co/PI7i7OTWSZ",0
"@Miss_Chdmngo Those were the times na I was blinded by the lies of Marcoses. Ang mahalaga, natututo na ako sa history and never again to Marcoses, EVER!!! byen Sandro ditmo hahaha chos",1
"""wala ng posas posas dapat na bang ma todas namamasada lang naman ng bente kuwatro oras"" oust duterte",1
Still duterte gd ko ya  #DutertePalpak #OustDuterte #dutertelegacy #DuterteCorrupt  https://t.co/3UZeiXYufH,2
