score,text
1, kasamas  ally  washington  dc  gonna  vigil  tomorrow  night  49th  anniversary  martial  law  philippine  please  attend  oustduterte  katarungan   
1, kapagod  today  monday  monday  hay  feeling  oust  duterte  duque  resign  lang  magiging  ok 
1,   http  lh  hay  oust  duterte  talaga  hahahah 
2, country  friend  well  put  yang  icc  list  dutertemanyak  duterterapist  duterteyakuza  oustduterte 
2,   lago  tama  hahahahahahahaha  oustduterte 
2,   thats  truth  g  toengi  caroline  kennedy  marcosnotahero  neverforget  neveragain  notomarcos  dutertepalpak  dutertewakasan  oustduterte   
1, filipino  word  trapo  translated  firstly  mean  rag  cloth  piece  without  corruption  dirtied  moral  overtime  human  version  traditional  politician  counting  pacquiao  also  hate  u  lgbtqia  dutertemanyak  duterterapist  duterteyakuza  oustduterte 
2, woohoo  naglalabasan  baho  wonder  anong  baho  ilalabas  dick  5years  dutertes  dog  oustduterte  nodickgordon  halalan2022 
2, idioterte  say  probe  decade  clean  humanitarian  org  philippine  red  cross  yet  pharmally  company  overpriced  health  product  member  wanted  taiwan  authority  gov  approval  dutertemanyak  duterterapist  duterteyakuza  oustduterte 
1, pahanap  po  pakialam  lmaaaao   
1, yawa  exam  napod  oustduterte  sala  ni  gobyerno  yawa 
1,   neverforget  oustduterte   
1, bts  didnt  say  oust  duterte  unga  absolutely  unwatchable   
2, shhh  neveragain  communist  npa  jomasison  dutertecorrupt  dutertepanagutin  oustduterte  dutertewakasan  sogiewhenno   
2, hahayaan  pahina  mapawalang  sala  si  duterte  krimen  hahayaan  peryodismo  pagbabago  kasaysayan  pasistang  marcos  neverforget  neveragain  oustduterte 
1, dala  galit  naunang  peryodistang  nagtaguyod  tinig  plaridel  pagtuligsa  kahindik  hindik  diktaduryang  tinutuos  bayan  neverforget  neveragain  oustduterte   
2, magpapalitan  lang  ba  condolence  araw  araw  oust  duterte  duque  resign  ba  tama   
2, tama  register  vote  oust  duterte   
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neverforget  oustduterte 
1,   dream  goal  without  anything  shall  develop  talent  gift  fullest  order  serve  neighbor  country  best  ability  edgar  jopson  1966  martiallawcommemoration  oustduterte   
1, nang  pinapatalsik  tamod  yung  nasa  pamahalaan  magparehistro  bumoto  get  clear  skin  periodt  oustduterte  transformtomorrow 
1,   oust  duterte  kita   
1, kay  marcos  duterte  change  hasnt  come  pinag  martial  law  marcos  tatlong  gyera  pinasinayaan  duterte  gyera  kontra  droga  martial  law  mindanao  anti  terror  law  neveragain  marcosnotahero  oustduterte   
1,   omg  oustduterte 
1, matumbasan  pinagsama  samang  tapyas  budget  kaligtasan  pagbabalik  eskwela  2022  budget  ntf  elcac  ligtasnabalikeskwela  abolishntfelcac  oustduterte   
1, iskolar  bayan  kolektibong  balikan  kasaysayan  ilapat  aral  pagpapatuloy  diwa  pakikibaka  tuloy  magkita  kita  bukas  setyembre  21  martes  8  00  pm  tuloyanglaban  marcosnotahero  oustduterte 
1,   tuloyanglaban  marcosnotahero  oustduterte  muling  gugunitain  anibersaryo  bata  militar  pasistang  mamamatay  taong  si  marcos  pagtindig  iniimbitahan  dumalo  martial  law  round  table  discussion   
1, engineer  fight  back  pag  alala  diktadura  marcos  paalala  ininhiyero  bayan  pinapatay  giyera  rehimen  palpak  covid  response  pangangailangang  kumilos  labanan  sumama  pagkilos  bukas  neveragain  neverforget  oustduterte   
2, duterte  massacre  king  wakasan  yan  marcosnotahero  oustduterte 
2, oust  duterte  stop  killing  ligtas  balik  eskwela  defend  ancestral  land  change  system  turn  godforsaken  nation  inside 
1, oust  duterte  weather 
2, sus  lang  masabing  nakabalik  f2f  kasi  hiyang  hiya  kayo  lang  usad  kasi  kwenta  pandemic  response  nyo  oustduterte 
1, discussing  sogie  terrorism  fascist  duterte  philippine  pretend  surprised  oustduterte  abolishtheafp  abolishthepnp 
1, kaugnay  nananawagan  tulong  pampinansyal  gagamitin  transportasyon  pang  gastusin  halaga  malugod  naming  tatanggapin  maraming  salamat  makibaka  hustisya  bagong  mukha  pasista  marcosnotahero  oustduterte 
1, true  bestie  oustduterte   
1, bukod  natin  klarong  plano  ligtasnabalikeskwela  plano  mass  testing  malawakang  contract  tracing  nilalagay  lang  lalong  mapanganib  sitwasyon  oustduterte  academicbreaknow 
1,   oustduterte  hahahahahahahahah 
1, halika  samahan  liwasang  bonifacio  setyembre  21  2021  4  pm  tama  wakasan  yan  dumalo  rin  quezon  hall  upd  1  pm  tutulan  budget  cut  pagtanggal  dnd  accord  neverforget  neveragain  oustduterte  dutertewakasan 
2,   oust  duterte  marcos  candidacy  enabler  wews   
1,   de  la  salle  system  anti  duterte  di  ba  sima  la  salle  oust  duterte  matrix   
1, pub  release  today  orie  mag  reg  oust  duterte  eme 
1, lalabas  katotohanan  matobato  lasca  vindicated  stopthekillingsph  oustduterte 
2,   png  nyo  pu  ina  nyong  dilawan  pag  gising  nyo  araw  araw  hangang  susunod  election  si  duterte  parin  president  nangyari  oust  duterte  nyo  6  year  lumuha  man  kyo  dugo  tumumbling  paulit  ulit  nga  nga  parin  kyo   
2, kakayahan  pinag  uusapan  kahirapan  pinag  sasabi  nasa  tamang  pag  iisip  ba  itong  kumag  stopelectingidiots  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustdutertenow  oustduterte2021  oustduterte 
2,   first  time  ba  prrd  sumali  high  level  discussion  president  leader  buong  mundo  di  mo  alam  televised  meeting  pinag  attend  prrd  oo  nga  pala  puro  oustduterte  masstestingnow  dutertepalpak  katangahan  lang  pala  alam  nyo   
1, oustduterte  continually  failed  dontrunrody  lang   
2,   apresto  hoy  oust  duterte  yes  vaccine  mask  karen  karen  hahahahaha  lt  anti  vaccine  mask  whahahah 
1,   say  oust  duterte  fl 
1, sobrang  naiistress  hahahaha  manifest  lang  oras  oras  hahshhaha  oustduterte  tanginamobonggo  tanginamobriones 
1, kabataan  volunteer  community  organizing  sumali  kolektibang  sumama  pagpapatalsik  kay  marcos  sumama  pagkilos  21  1  3  pm  program  quezon  hall  4  6  pm  tama  wakasan  liwasang  bonifacio 
1, experience  kanina  napatanong  nalang  ba  estudyante  di  bumalik  diktador  eh  certain  unity  naman  liberal  unibersidad  ayaw  kay  marcos  anlawak  martial  law  mob  noong  nilibing  si  marcos   
1, pag  uwi  hiningian  thought  statement  ipopost  student  org  martial  law  tinanong  syempre  targeted  post  student  ok  naman  content  dulo  need  patampukin  historical  thinking  ganon  di  mamalagi  dictator 
2, naman  kasi  paliwanagan  naintindihan  naman  pagpapalakas  organisasyon  magtutulak  makabuluhang  pagbabago  nga  g  g  komyu  mag  recruit  palawakin  campaign  altho  di  fully  anti  marcos  anti  du30  arawan  naman  struggle 
1, point  lang  alam  taong  ginigipit  araw  araw  nating  karanasan  dahas  baril  man  yan  exploitation  putol  pag  expose  systematic  nature  estado  pangulo  nitong  burgesya  naghahasik  malawakang  dahas  amp  pasismo 
1, noong  tinanong  ba  nararanasan  pasismo  di  nagets  noong  napaliwanag  panggigipit  ta  dami  binahagi  pagkait  ayuda  pagredtag  community  pantry  introduce  lang  salita  sinasaklaw  lived  experience 
1, latag  datos  abt  bata  militar  napnood  nga  rin  interview  toni  eh  takeaway  mali  benefit  doubt  hopefully  di  sundan  tatay  pumatay  okay  naman  yung  development  project 
1, eme  essay  writing  toni  marcos  history  interview  thing  narealize  lang  yung  tinuro  2  yr  ago  gawaing  propaganda  lang  arouse  kundi  organize  mobilize  rin  kanina  ed  martial  law  komyu  iboboto  si  marcos   
2, meanwhile  vast  proof  continue  adding  duterte  people  jailed  dutertemanyak  duterterapist  duterteyakuza  oustduterte 
1,   kapagod  kasi  umasa  wala  especially  nangyari  oust  duterte  wala  ding  naanod  dolomite  ill  wish  kay  taypduts  nangyayari  nagba  backfire  nga  p  tegi  pala  si  dinky  soliman  rip 
2,   rosa  course  nag  eenjoi  kame  5years  n  kayong  umeefort  mag  oust  duterte  nangayre  matatapos  n  lng  term  hahaha  lage  p  kayo  talunan  eleksyon  happy  pighati  nyo  iyak  talunan 
1,   la  salle  sytem  denouncing  duterte  admin  dinamay  nga  oust  duterte  matrix   
1, say  oust  duterte  next 
1, lord  want  family  healthy  strong  please  mercy  sinner  oustduterte 
1, filipino  moo  please  let  u  register  vote  eligible  30th  registration  end  exercise  right  vote  let  u  uphold  freedom  democracy  registertovote  democracy  oustduterte  marcosnotahero 
1, yall  wanna  join  discussion  oust  duterte  dm  maganda  best  pubberist  po  instru  ngayong  gabi  clout  tag   
1, ok  right  run  presidency  matutong  tumanggap  pagkatalo  ha   
1, ngunit  panahong  pinakamadali  nang  makumbinsi  malawak  hanay  masa  lagutin  marahas  pamahalaan  pagkat  wala  nang  mawawala  ninakaw  basahin  editoryal  oustduterte 
2, patunay  pinagkaiba  si  duterte  kay  marcos  parehas  diktador  pasista  pakundangan  karapatang  pantao  sambayanang  pilipino  abolishntfelcac  defundntfelcac  oustduterte 
2,   neveragain  oustduterte 
1,   oustduterte 
1, instant  stonk   
1, put  amount  usd  sovereign  debt  servicing  usd  neveragain  nobody  service  debt  di  nya  napakinabangan  suffering  bibigyan  mo  ba  sakit  ulo  descendant  mo  never  oustduterte 
2,   tatakmarcosmandarambong  tatakmarcossinungaling  tatakmarcosmagnanakaw  tatakmarcosmagnanakaw  tatakmarcosmamemeke  neverforget  neveragain  stopelectingmarcos  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustduterte 
2, tangina  niyo  gisingggg  golden  age  nga  lol  neveragain 
2, lisa  lisa  say  oustduterte   
1, really  blame  people  insisting  going  work  masama  pakiramdam  pag  maasahan  gobyerno  magkakanya  lang  tao  expense  health  amp  people  around  hope  dutae  ilk  suffers  long  hard  oustduterte 
1,   chdmngo  time  blinded  lie  marcoses  mahalaga  natututo  history  never  marcoses  ever  byen  sandro  ditmo  hahaha  chos 
1,   wala  posas  posas  bang  toda  namamasada  lang  naman  bente  kuwatro  oras  oust  duterte 
2, still  duterte  gd  ya  dutertepalpak  oustduterte  dutertelegacy  dutertecorrupt   
1,   lover  people  freedom  express  concern  criticize  imposing  belief  others  account  choice   
2, anti  vaxxer  plus  anti  masker  plus  dd  shade  red  flag  oustduterte  votewiselythis2022  wearmasks  maskssavelives  getvaccinatednow 
1, pwedeng  manahimik  lang  mariel   
1, good  mornight  oustduterte  oustdutertenow 
1, kaka  oust  duterte  ata  mauunang  oust  ah  hahaha 
1, 11  11  oust  duterte 
2, dutertes  cop  zero  respect  human  life  dutertemanyak  duterterapist  duterteyakuza  oustduterte 
1, oust  duterte  cutie   
1, magpapatuloy  lumakas  lumalawak  lumalaban  sumali  anakbayan  plm  mag  sign  google  form  joinanakbayanplm  oustduterte  6  6   
1,   4withsun  tama  oust  duterte  po   
1, putangina   
2, much  shit  head  hand  literally  cant  sleep  w  thinking  abt  thing  done  bc  cant  fucken  rn  im  made  think  im  one 
1,   elena  oust  duterte  episode  987654321234556788990 
2,   tang  ina  bat  di  inform  oust  duterte  talaga  di  disseminate  maayos  yung  news   
1, wala  kaming  naramdaman  bukod  ubo  ingat  talaga  covid  sobrang  silent  killer   
1, feeling 
1, miss  f2f  grabe  oustduterte 
1, sobrang  ironic  kinakalawang   
2, cannot  fucking  breathe  life 
1, atenean  people  poet  awakened  mass  messiah  among  worker  peasant  lost  generation  found  true  home  eman  lacaba  1976  martiallawcommemoration  oustduterte   
1,   oustduterte 
1,   uuuuuuyyyy  rin  yan  bumibiling  bolpen  ta  nilalagay  oust  duterte  ganern  hahaha 
2, panoorin  ika  49  anibersaryo  martial  law  saksi  kasaysayan  diktaduryang  duterte  wakasan  online  forum  fb  page  anakbayan  metro  baguio  5pm  bukas  mlnoonatngayon  neveragain  dutertewakasan  oustduterte   
1, difference  ninoy  leloy  former  open  alliance  oust  dictator  hence  call  legalization  latter  want  legalization  eliminate  instead  forming  oust  alliance  oust  duterte  paingay  lang  ganern   
1, tamaaa  oustduterte 
1, admits  apologizes  say  oustduterte   
2, oust  duterte 
1, registered  ready  po  fucking  oustduterte   
2, wala  talagang  alam  hiyang  kundi  takutin  pagbayarin  tao  kapabayaan  gobyerno  kayo  pananagutan  bayan  kayo  kailangang  pagbayaran  kapal  kapal  kapal  ninyong  oustduterte   
1,   lover  ironically  youre  imposing  person  youre  talking  parang  paradox  tolerance  lang  yan  pinagkaiba  niyong  lean  side  marcos  enabler   
2,   dd  poon  kinukunsinti  merong  nagawang  mali  oona  oona  sige  tama  naman  palage  eh  oustduterte 
1, camper  ata  comelec  eh  bawi  6  year  lang  oustduterte  padin 
1, tf  tf  tf 
1,   people  power  covid  nung  covid  be  nyo  n  yan  sinubukan  kaso  gumana  5yrs  n  oust  duterte  pro  nga  nga  p  kau   
1, find  time  trouble  mother  mary  come  speaking  word  wisdom  oust  duterte   
1,   yakap  sist   
2,   oustduterte  oustduterte  oustduterte  oustduterte  oustduterte  oustdutertenow 
1, convo  friend  feel  contrast  event  u  sorrowful  tayong  sanay  buhay  pilipinas  akala  natin  normal  magaadjust  huling  huli  oustduterte   
2,   oustduterte   
1, listen  political  self  political  self  oustduterte  chos  gitzzkosariliko 
1, papagod  talaga  putangina  universe  pls  pag  bigyan  niyo 
1,   edgiemar  president  oustduterte   
1, yeah  oustduterte 
1,   oustduterte  nyo  twitter  lang  hahahah 
1,   ma  tanga  oustduterte  waley  naman  di  k  dilawan  boboto  mo  dilaw  talunan 
1,   msta  nman  oustduterte  mo  kelan  final  season  matatapos  n  lng  si  digong  nga  pala  yung  dilaw  mo  ocho  derecho  inidoro  uli   
2, wtf  ntf  elcac  gagago  niyo  notoredtagging  abolishntfelcac  oustduterte 
1, grabe  judgement  mahalaga  sanay  mag  bike  doesnt  matter  lang  bike 
2, tingnan  nagsindi  kandila  masa  pag  alala  pinaslang  rehimeng  duterte  namamanata  mamamayang  pilipino  muling  pagkabuhay  martir  patuloy  pakikibaka  kasama  masa  buhay  ganap  kasiya  carrythecross  oustduterte   
1, lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak   
1,   lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak 
1, get  know  leading  anti  fascist  network  community  join  uprise  uprise  orientation  september  18  saturday  6  00  pm  via  zoom  orientation  link  joinuprise  fighttyranny  endstatefascism  oustduterte   
2, g  g  si  kristine  joy  xd  eme  patuloy  kalampagin  admin  dinggin  panawagan  estudyante  propesor  manggagawa  pamantasan  patalsikin  puno  dulo  paghihirap  natin  oustdutertenow  kilosnaup  ligtasnabalikeskwela  notobudgetcuts  oustduterte 
1, atenean  freedom  fighter  freedom  fighter  one  fight  without  gun  resist  dictatorship  way  demand  give  best  talent  time  effort  nothing  le  ferdie  arceo  martiallawcommemoration  oustduterte   
2, dropping  twitter  4  month  want  say  tangina  mo  bong  go  oustduterte   
2, sumali  youth  unbound  southern  tagalog  patalsikin  natin  si  duterte  stop  killing  prosecute  duterte  cohort  end  duterte  dynasty  oustduterte  tara  magpa  orient  anytime   
2, marcos  duterte  pinagiba  wala  ba  talagang  pinagiba  syempre  meron  pagkakaiba  aabot  si  duterte  21  taon  mapatalsik  taong  bayan  oustduterte   
1, finally  registered  vote  add  1  ballot  oustduterte 
1,   registertovote  halalan2022  oustduterte   
1, investing  country  600k  could  land  billion  gov  contract  let  buy  real  luxury  car  welcome  home  investment  capital  world  crooked  businessmen  pharmally  doh  oustduterte 
1, icymi  earlier  today  university  student  council  together  various  student  formation  member  community  mobilized  quezon  hall  new  semester  begin  firstdayfight  educationisaright  notoupbudgetcut  ligtasnabalikeskwela  oustduterte   
1, huli  kayo  balbon  kawatan  sure  pati  si  tatay  meron  hati  ninakaw  kaban  bayan  oustduterte 
1,   oust  duterte  po 
1,   basahin  buong  pahayag  firstdayfight  ligtasnabalikeskwela  ligatasnabaliklaboratoryo  defendup  oustduterte   
1, fsupdiliman  pang  patutunguhan  bayan  kundi  singilin  si  duterte  kriminal  kapabayaan  siyang  ibang  kundi  manilbihan  imperyalistang  amo  tumanggap  armas  oustduterte  firstdayrage   
2, ganito  utak  dilawan  ufo  oust  marcos  di  oust  marcos  oust  duterte  hahhay   
1, basahin  buong  pahayag  notoupbudgetcut  ligtasnabalikeskwela  oustduterte 
1,   late  say  oustduterte   
2, anakpawis  duterte  bumaba  umalis  diyan  di  mo  rin  lang  kayang  ibigay  mamamayan  mamamayan  nagugutom  magulang  unahin  anak  matuto  pagkain  araw  araw  oustduterte   
1, wow  kala  mo  tlga  artist  anw  proud  rin  d2  perfect  score  ba  naman  mwehe  oustduterte  artph 
1, literally  used  facist  fanwars  ma  malalim  tayong  problema  take  bitterness  somewhere  oustduterte 
2,   oustduterte  send  2366   
1,   katrinadomingo  remember  di  terorista  matakot  apply  natin  di  corrupt  ayaw  imbestiga  oustduterte  dutertepalpak 
1, right  oustduterte 
2, oo  nga  naman  scarce  supply  bilis  mag  deliver  mask  pharmally  tapos  ginamit  presyo  srp  got  bulk  wholesale  doh  dookie  tang  ama  nyo  magnanakaw  kayo  duqueresign  oustduterte 
2, son  bitch  nearly  expiring  test  kit  yan  sinupply  pharmally  tapos  doh  tanggapin  yan  subpar  quality  worth  whopping  5  billion  peso  putang  inang  doh  yan  oustduterte  duqueresign 
1, im  already  seeing  among  loved  one  service  sector  please  use  rage  make  people  vote  push  oustduterte  even  theyre  shaky  ground  issue   
2, mapatalsik  si  duterte  pati  alipores  nagawa  tama  puro  pahirap  ipinararanas  masa  duterte  pahirap  korap  pasista  berdugo  patalsikin  pwesto  sumali  anakbayan  pup  5  5  joinanakbayanpup  oustduterte 
1, weh  mo  nga  oust  duterte 
1,   sadly  yes   
1, interesting  topic  oustduterte  tonyotalks   
2, hayup  exec  pharmally  tsikot  porsche  lexus  lambo  potah  yan  bata  duterte  oustduterte  duqueresign  jailthesebastards   
1,   nangyayari  pinas  lang  pag  pipilian  mo  either  oustduterte  letlenilead  pag  wala  kang  pag  pipilian  manahimik  lang 
1,   oust  duterte  char  hi  ate  hope  could  formulate  title  rooting  sorry  di  po  kasi  magaling  field  yan  hihi  wanted  drop  come  say  hi  po  hihi  ingat  po  lagiiii  hope  u  still  remember   
1, smooth  quick  transfer  voter  registration  oustduterte 
1,   oustduterte  endstatefascism 
1,   oustduterte  periodt   
1,   oust  duterte  dara  solo  coming 
1, si  iza  upb  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte 
1,   nadulas  lang  po  slip  tongue  ulol  butiki  oustduterte  wakasanna 
1, bakuna  kapalit  pwersang  imperyalista  vfa  operation  bansa  tuloy  rin  junkvfa  ustroopsoutnow  imperyalismoibagsak  defendphsovereignty  dutertuta  oustduterte   
2, bakuna  kapalit  pwersang  imperyalista  vfa  operation  bansa  tuloy  rin  junkvfa  ustroopsoutnow  imperyalismoibagsak  defendphsovereignty  dutertuta  oustduterte   
1, si  july  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte 
2, oust  duterte  oustdutertenow 
2, iskolar  bayan  lumalaban  bukas  muling  sasabak  panibagong  taon  akademiko  remote  learning  iskolar  bayan  kaguruan  firstdayfight  upkilosna  walangiwananup  ligtasnabalikeskwela  oustduterte   
1,   tangina  snsnndndnsnnd  mali  pala  spell  q 
1, si  mavi  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte 
1,   firstdayfight  unity  statement  safe  reopening  school  resisting  budget  cut  amplify  call  democratic  right  resist  budget  cut  firstdayfight  notobudgetcut  ligtasnabalikeskwela  defendup  oustduterte 
1, join  leading  anti  fascist  alliance  community  rise  tyranny  dictatorship  uprise  orientation  september  18  saturday  6  00  pm  via  zoom  orientation  link  joinuprise  fighttyranny  endstatefascism  oustduterte   
1,   firstdayfight  unity  statement  safe  reopening  school  resisting  budget  cut  amplify  call  democratic  right  resist  budget  cut  firstdayfight  notobudgetcut  ligtasnabalikeskwela  defendup  oustduterte   
1, basahin  buong  pahayag  itigil  redtagging  buwagin  ntf  elcac  patalsikin  pabaya  pahirap  pasistang  rehimeng  duterte  notoredtagging  abolishntfelcac  ligtasnabalikeskwela  oustduterte 
1, join  first  day  fight  bukas  10  press  con  4  pm  protest  action  quezon  hall   
2, oustduterte  nga  diyan   
1, besides  big  party  would  entail  overlapping  friend  group  magulo  different  vibe  group  anw  chel  diokno  senator  join  ndmos  oust  duterte 
1, rally  several  people  red  tagged  woman  organizer  student  member  press  must  strengthen  call  stop  red  tagging  abolish  ntf  elcac  activistsnotterrorists  abolishntfelcac  oustduterte   
1, si  jude  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte 
1, si  raven  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte 
1,   oust  duterte  please  dara  solo  coming 
1, 2020  grumaduate  lang  ishare  itong  napakagandang  write  gawa  jampol  sakin  stp  str  hst  oustduterte   
2,   oustduterte  gt  gt   
1,   padasig  communist  must  ready  time  stand  truth  truth  interest  people  mao  zedong  servethepeople  oustduterte   
2,   killing  neither  legitimate  mere  excess  otherwise  legitimate  operation  dutertekriminal  dutertewakasan  oustduterte 
1, naku  mahigit  1  taon  tayong  naka  lockdown  palpak  inutil  tugon  rehimeng  duterte  pandemya  sawa  ba  ganitong  set  nakaka  burn  online  class  rinig  kayo  pang  hinihintay  nyo  sumali  anakbayan  morayta  oustduterte   
1, alam  anong  dd  ba  yang  username  eme  hahaha  let  sign  magwawagi  kontra  dd  hahha  oustduterte   
1,   fuckkkkkkkkkkkkk  yoooooooo  u  shouldve  said  oust  duterte  smth  fuckckckkaskjdfnkajwenrjkawenrawelkmakler 
1, dutertes  politician  businessmen  lie  bacolod  city  crime  elsewhere  time  never  side  youll  legally  destroyed  rape  murder  dutertemanyak  duterterapist  duterteyakuza  oustduterte   
1,   oustduterte  student  social  medium  usually  timid  know  admin  would  usually  come  today  theyve  enough 
1,   hell  mapupunta  pag  letter  pangalan  pumasok  isip  mo   
1, magkano  nman  ba  kase  kikitain  nagkakandaugaga  ulul  oustduterte  kaseeeee 
1, lang  naman  fucking  pera  gcash 
1, momma  said  galingan  mo  ha  binili  kita  birks  fockin  ask  omylord   
1, alam  fucking  lie 
1, tangina  clickbait  fuck 
2,   jjjiro  demonyo  nga  pla  kayo  oust  duterte  sinisigaw  ninyo 
