score,text,Topics
2, woohoo  naglalabasan  baho  wonder  anong  baho  ilalabas  dick  5years  dutertes  dog  oustduterte  nodickgordon  halalan2022 ,Political stance
2, idioterte  say  probe  decade  clean  humanitarian  org  philippine  red  cross  yet  pharmally  company  overpriced  health  product  member  wanted  taiwan  authority  gov  approval  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Filipino Political News
1, pahanap  po  pakialam  lmaaaao   ,Political stance
1, yawa  exam  napod  oustduterte  sala  ni  gobyerno  yawa ,Filipino Political News
1,   neverforget  oustduterte   ,Filipino Political News
1, bts  didnt  say  oust  duterte  unga  absolutely  unwatchable   ,Political stance
2, shhh  neveragain  communist  npa  jomasison  dutertecorrupt  dutertepanagutin  oustduterte  dutertewakasan  sogiewhenno   ,Filipino Political News
2, hahayaan  pahina  mapawalang  sala  si  duterte  krimen  hahayaan  peryodismo  pagbabago  kasaysayan  pasistang  marcos  neverforget  neveragain  oustduterte ,Filipino Political News
1, dala  galit  naunang  peryodistang  nagtaguyod  tinig  plaridel  pagtuligsa  kahindik  hindik  diktaduryang  tinutuos  bayan  neverforget  neveragain  oustduterte   ,President
2, magpapalitan  lang  ba  condolence  araw  araw  oust  duterte  duque  resign  ba  tama   ,Political stance
2, tama  register  vote  oust  duterte   ,Political stance
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neverforget  oustduterte ,Filipino Political News
1,   dream  goal  without  anything  shall  develop  talent  gift  fullest  order  serve  neighbor  country  best  ability  edgar  jopson  1966  martiallawcommemoration  oustduterte   ,President
1, nang  pinapatalsik  tamod  yung  nasa  pamahalaan  magparehistro  bumoto  get  clear  skin  periodt  oustduterte  transformtomorrow ,Filipino Political News
1,   oust  duterte  kita   ,Political stance
1, kay  marcos  duterte  change  hasnt  come  pinag  martial  law  marcos  tatlong  gyera  pinasinayaan  duterte  gyera  kontra  droga  martial  law  mindanao  anti  terror  law  neveragain  marcosnotahero  oustduterte   ,Filipino Political News
1,   omg  oustduterte ,Filipino Political News
1, matumbasan  pinagsama  samang  tapyas  budget  kaligtasan  pagbabalik  eskwela  2022  budget  ntf  elcac  ligtasnabalikeskwela  abolishntfelcac  oustduterte   ,Filipino Political News
1, iskolar  bayan  kolektibong  balikan  kasaysayan  ilapat  aral  pagpapatuloy  diwa  pakikibaka  tuloy  magkita  kita  bukas  setyembre  21  martes  8  00  pm  tuloyanglaban  marcosnotahero  oustduterte ,Filipino Political News
1,   tuloyanglaban  marcosnotahero  oustduterte  muling  gugunitain  anibersaryo  bata  militar  pasistang  mamamatay  taong  si  marcos  pagtindig  iniimbitahan  dumalo  martial  law  round  table  discussion   ,Filipino Political News
1, engineer  fight  back  pag  alala  diktadura  marcos  paalala  ininhiyero  bayan  pinapatay  giyera  rehimen  palpak  covid  response  pangangailangang  kumilos  labanan  sumama  pagkilos  bukas  neveragain  neverforget  oustduterte   ,Filipino Political News
2, duterte  massacre  king  wakasan  yan  marcosnotahero  oustduterte ,Filipino Political News
2, oust  duterte  stop  killing  ligtas  balik  eskwela  defend  ancestral  land  change  system  turn  godforsaken  nation  inside ,Government Policies
1, oust  duterte  weather ,Political stance
2, sus  lang  masabing  nakabalik  f2f  kasi  hiyang  hiya  kayo  lang  usad  kasi  kwenta  pandemic  response  nyo  oustduterte ,Filipino Political News
1, discussing  sogie  terrorism  fascist  duterte  philippine  pretend  surprised  oustduterte  abolishtheafp  abolishthepnp ,Political stance
1, kaugnay  nananawagan  tulong  pampinansyal  gagamitin  transportasyon  pang  gastusin  halaga  malugod  naming  tatanggapin  maraming  salamat  makibaka  hustisya  bagong  mukha  pasista  marcosnotahero  oustduterte ,Filipino Political News
1, true  bestie  oustduterte   ,Filipino Political News
1, bukod  natin  klarong  plano  ligtasnabalikeskwela  plano  mass  testing  malawakang  contract  tracing  nilalagay  lang  lalong  mapanganib  sitwasyon  oustduterte  academicbreaknow ,Filipino Political News
1,   oustduterte  hahahahahahahahah ,Filipino Political News
1, halika  samahan  liwasang  bonifacio  setyembre  21  2021  4  pm  tama  wakasan  yan  dumalo  rin  quezon  hall  upd  1  pm  tutulan  budget  cut  pagtanggal  dnd  accord  neverforget  neveragain  oustduterte  dutertewakasan ,Filipino Political News
2,   oust  duterte  marcos  candidacy  enabler  wews   ,Political stance
1,   de  la  salle  system  anti  duterte  di  ba  sima  la  salle  oust  duterte  matrix   ,Political stance
1, pub  release  today  orie  mag  reg  oust  duterte  eme ,Political stance
1, lalabas  katotohanan  matobato  lasca  vindicated  stopthekillingsph  oustduterte ,Filipino Political News
2,   png  nyo  pu  ina  nyong  dilawan  pag  gising  nyo  araw  araw  hangang  susunod  election  si  duterte  parin  president  nangyari  oust  duterte  nyo  6  year  lumuha  man  kyo  dugo  tumumbling  paulit  ulit  nga  nga  parin  kyo   ,Government Policies
2, kakayahan  pinag  uusapan  kahirapan  pinag  sasabi  nasa  tamang  pag  iisip  ba  itong  kumag  stopelectingidiots  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustdutertenow  oustduterte2021  oustduterte ,Filipino Political News
2,   first  time  ba  prrd  sumali  high  level  discussion  president  leader  buong  mundo  di  mo  alam  televised  meeting  pinag  attend  prrd  oo  nga  pala  puro  oustduterte  masstestingnow  dutertepalpak  katangahan  lang  pala  alam  nyo   ,Election
1, oustduterte  continually  failed  dontrunrody  lang   ,Filipino Political News
2,   apresto  hoy  oust  duterte  yes  vaccine  mask  karen  karen  hahahahaha  lt  anti  vaccine  mask  whahahah ,Government Policies
1,   say  oust  duterte  fl ,Political stance
1, sobrang  naiistress  hahahaha  manifest  lang  oras  oras  hahshhaha  oustduterte  tanginamobonggo  tanginamobriones ,Filipino Political News
1, kabataan  volunteer  community  organizing  sumali  kolektibang  sumama  pagpapatalsik  kay  marcos  sumama  pagkilos  21  1  3  pm  program  quezon  hall  4  6  pm  tama  wakasan  liwasang  bonifacio ,Political stance
1, experience  kanina  napatanong  nalang  ba  estudyante  di  bumalik  diktador  eh  certain  unity  naman  liberal  unibersidad  ayaw  kay  marcos  anlawak  martial  law  mob  noong  nilibing  si  marcos   ,Filipino Political News
1, pag  uwi  hiningian  thought  statement  ipopost  student  org  martial  law  tinanong  syempre  targeted  post  student  ok  naman  content  dulo  need  patampukin  historical  thinking  ganon  di  mamalagi  dictator ,Political stance
2, naman  kasi  paliwanagan  naintindihan  naman  pagpapalakas  organisasyon  magtutulak  makabuluhang  pagbabago  nga  g  g  komyu  mag  recruit  palawakin  campaign  altho  di  fully  anti  marcos  anti  du30  arawan  naman  struggle ,Government Policies
1, point  lang  alam  taong  ginigipit  araw  araw  nating  karanasan  dahas  baril  man  yan  exploitation  putol  pag  expose  systematic  nature  estado  pangulo  nitong  burgesya  naghahasik  malawakang  dahas  amp  pasismo ,Filipino Political News
1, noong  tinanong  ba  nararanasan  pasismo  di  nagets  noong  napaliwanag  panggigipit  ta  dami  binahagi  pagkait  ayuda  pagredtag  community  pantry  introduce  lang  salita  sinasaklaw  lived  experience ,Government Policies
1, latag  datos  abt  bata  militar  napnood  nga  rin  interview  toni  eh  takeaway  mali  benefit  doubt  hopefully  di  sundan  tatay  pumatay  okay  naman  yung  development  project ,Government Policies
1, eme  essay  writing  toni  marcos  history  interview  thing  narealize  lang  yung  tinuro  2  yr  ago  gawaing  propaganda  lang  arouse  kundi  organize  mobilize  rin  kanina  ed  martial  law  komyu  iboboto  si  marcos   ,Election
2, meanwhile  vast  proof  continue  adding  duterte  people  jailed  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Government Policies
1,   kapagod  kasi  umasa  wala  especially  nangyari  oust  duterte  wala  ding  naanod  dolomite  ill  wish  kay  taypduts  nangyayari  nagba  backfire  nga  p  tegi  pala  si  dinky  soliman  rip ,Political stance
2,   rosa  course  nag  eenjoi  kame  5years  n  kayong  umeefort  mag  oust  duterte  nangayre  matatapos  n  lng  term  hahaha  lage  p  kayo  talunan  eleksyon  happy  pighati  nyo  iyak  talunan ,Political stance
1,   la  salle  sytem  denouncing  duterte  admin  dinamay  nga  oust  duterte  matrix   ,Political stance
1, say  oust  duterte  next ,Political stance
1, lord  want  family  healthy  strong  please  mercy  sinner  oustduterte ,Election
1, filipino  moo  please  let  u  register  vote  eligible  30th  registration  end  exercise  right  vote  let  u  uphold  freedom  democracy  registertovote  democracy  oustduterte  marcosnotahero ,Election
1, yall  wanna  join  discussion  oust  duterte  dm  maganda  best  pubberist  po  instru  ngayong  gabi  clout  tag   ,Political stance
1, ok  right  run  presidency  matutong  tumanggap  pagkatalo  ha   ,Government Policies
1, ngunit  panahong  pinakamadali  nang  makumbinsi  malawak  hanay  masa  lagutin  marahas  pamahalaan  pagkat  wala  nang  mawawala  ninakaw  basahin  editoryal  oustduterte ,Filipino Political News
2, patunay  pinagkaiba  si  duterte  kay  marcos  parehas  diktador  pasista  pakundangan  karapatang  pantao  sambayanang  pilipino  abolishntfelcac  defundntfelcac  oustduterte ,Filipino Political News
2,   neveragain  oustduterte ,Filipino Political News
1,   oustduterte ,Filipino Political News
1, instant  stonk   ,Political stance
1, put  amount  usd  sovereign  debt  servicing  usd  neveragain  nobody  service  debt  di  nya  napakinabangan  suffering  bibigyan  mo  ba  sakit  ulo  descendant  mo  never  oustduterte ,Filipino Political News
2,   tatakmarcosmandarambong  tatakmarcossinungaling  tatakmarcosmagnanakaw  tatakmarcosmagnanakaw  tatakmarcosmamemeke  neverforget  neveragain  stopelectingmarcos  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustduterte ,Filipino Political News
2, tangina  niyo  gisingggg  golden  age  nga  lol  neveragain ,Election
2, lisa  lisa  say  oustduterte   ,Filipino Political News
1, really  blame  people  insisting  going  work  masama  pakiramdam  pag  maasahan  gobyerno  magkakanya  lang  tao  expense  health  amp  people  around  hope  dutae  ilk  suffers  long  hard  oustduterte ,Filipino Political News
1,   chdmngo  time  blinded  lie  marcoses  mahalaga  natututo  history  never  marcoses  ever  byen  sandro  ditmo  hahaha  chos ,Election
1,   wala  posas  posas  bang  toda  namamasada  lang  naman  bente  kuwatro  oras  oust  duterte ,Political stance
2, still  duterte  gd  ya  dutertepalpak  oustduterte  dutertelegacy  dutertecorrupt   ,Political stance
1,   lover  people  freedom  express  concern  criticize  imposing  belief  others  account  choice   ,Election
2, anti  vaxxer  plus  anti  masker  plus  dd  shade  red  flag  oustduterte  votewiselythis2022  wearmasks  maskssavelives  getvaccinatednow ,Filipino Political News
1, pwedeng  manahimik  lang  mariel   ,Political stance
1, good  mornight  oustduterte  oustdutertenow ,Filipino Political News
1, kaka  oust  duterte  ata  mauunang  oust  ah  hahaha ,Political stance
1, 11  11  oust  duterte ,Political stance
2, dutertes  cop  zero  respect  human  life  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Government Policies
1, oust  duterte  cutie   ,Political stance
1, magpapatuloy  lumakas  lumalawak  lumalaban  sumali  anakbayan  plm  mag  sign  google  form  joinanakbayanplm  oustduterte  6  6   ,Filipino Political News
1,   4withsun  tama  oust  duterte  po   ,Political stance
1, putangina   ,Political stance
2, much  shit  head  hand  literally  cant  sleep  w  thinking  abt  thing  done  bc  cant  fucken  rn  im  made  think  im  one ,Political stance
1,   elena  oust  duterte  episode  987654321234556788990 ,Political stance
2,   tang  ina  bat  di  inform  oust  duterte  talaga  di  disseminate  maayos  yung  news   ,Political stance
1, wala  kaming  naramdaman  bukod  ubo  ingat  talaga  covid  sobrang  silent  killer   ,Political stance
1, feeling ,Political stance
1, miss  f2f  grabe  oustduterte ,Filipino Political News
1, sobrang  ironic  kinakalawang   ,Political stance
2, cannot  fucking  breathe  life ,Election
1, atenean  people  poet  awakened  mass  messiah  among  worker  peasant  lost  generation  found  true  home  eman  lacaba  1976  martiallawcommemoration  oustduterte   ,Filipino Political News
1,   oustduterte ,Filipino Political News
1,   uuuuuuyyyy  rin  yan  bumibiling  bolpen  ta  nilalagay  oust  duterte  ganern  hahaha ,Political stance
2, panoorin  ika  49  anibersaryo  martial  law  saksi  kasaysayan  diktaduryang  duterte  wakasan  online  forum  fb  page  anakbayan  metro  baguio  5pm  bukas  mlnoonatngayon  neveragain  dutertewakasan  oustduterte   ,Filipino Political News
1, difference  ninoy  leloy  former  open  alliance  oust  dictator  hence  call  legalization  latter  want  legalization  eliminate  instead  forming  oust  alliance  oust  duterte  paingay  lang  ganern   ,Political stance
1, tamaaa  oustduterte ,Filipino Political News
1, admits  apologizes  say  oustduterte   ,Filipino Political News
2, oust  duterte ,Political stance
1, registered  ready  po  fucking  oustduterte   ,Filipino Political News
2, wala  talagang  alam  hiyang  kundi  takutin  pagbayarin  tao  kapabayaan  gobyerno  kayo  pananagutan  bayan  kayo  kailangang  pagbayaran  kapal  kapal  kapal  ninyong  oustduterte   ,Filipino Political News
1,   lover  ironically  youre  imposing  person  youre  talking  parang  paradox  tolerance  lang  yan  pinagkaiba  niyong  lean  side  marcos  enabler   ,Filipino Political News
2,   dd  poon  kinukunsinti  merong  nagawang  mali  oona  oona  sige  tama  naman  palage  eh  oustduterte ,Filipino Political News
1, camper  ata  comelec  eh  bawi  6  year  lang  oustduterte  padin ,Election
1, tf  tf  tf ,Political stance
1,   people  power  covid  nung  covid  be  nyo  n  yan  sinubukan  kaso  gumana  5yrs  n  oust  duterte  pro  nga  nga  p  kau   ,Political stance
1, find  time  trouble  mother  mary  come  speaking  word  wisdom  oust  duterte   ,Political stance
1,   yakap  sist   ,Political stance
2,   oustduterte  oustduterte  oustduterte  oustduterte  oustduterte  oustdutertenow ,Filipino Political News
1, convo  friend  feel  contrast  event  u  sorrowful  tayong  sanay  buhay  pilipinas  akala  natin  normal  magaadjust  huling  huli  oustduterte   ,Filipino Political News
2,   oustduterte   ,Filipino Political News
1, listen  political  self  political  self  oustduterte  chos  gitzzkosariliko ,Political stance
1, papagod  talaga  putangina  universe  pls  pag  bigyan  niyo ,Election
1,   edgiemar  president  oustduterte   ,Filipino Political News
1, yeah  oustduterte ,Filipino Political News
1,   oustduterte  nyo  twitter  lang  hahahah ,Political stance
1,   ma  tanga  oustduterte  waley  naman  di  k  dilawan  boboto  mo  dilaw  talunan ,Political stance
1,   msta  nman  oustduterte  mo  kelan  final  season  matatapos  n  lng  si  digong  nga  pala  yung  dilaw  mo  ocho  derecho  inidoro  uli   ,Filipino Political News
2, wtf  ntf  elcac  gagago  niyo  notoredtagging  abolishntfelcac  oustduterte ,Filipino Political News
1, grabe  judgement  mahalaga  sanay  mag  bike  doesnt  matter  lang  bike ,Political stance
2, tingnan  nagsindi  kandila  masa  pag  alala  pinaslang  rehimeng  duterte  namamanata  mamamayang  pilipino  muling  pagkabuhay  martir  patuloy  pakikibaka  kasama  masa  buhay  ganap  kasiya  carrythecross  oustduterte   ,Filipino Political News
1, lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak   ,Political stance
1,   lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak ,Political stance
1, get  know  leading  anti  fascist  network  community  join  uprise  uprise  orientation  september  18  saturday  6  00  pm  via  zoom  orientation  link  joinuprise  fighttyranny  endstatefascism  oustduterte   ,Filipino Political News
2, g  g  si  kristine  joy  xd  eme  patuloy  kalampagin  admin  dinggin  panawagan  estudyante  propesor  manggagawa  pamantasan  patalsikin  puno  dulo  paghihirap  natin  oustdutertenow  kilosnaup  ligtasnabalikeskwela  notobudgetcuts  oustduterte ,Filipino Political News
1, atenean  freedom  fighter  freedom  fighter  one  fight  without  gun  resist  dictatorship  way  demand  give  best  talent  time  effort  nothing  le  ferdie  arceo  martiallawcommemoration  oustduterte   ,Election
2, dropping  twitter  4  month  want  say  tangina  mo  bong  go  oustduterte   ,Election
2, sumali  youth  unbound  southern  tagalog  patalsikin  natin  si  duterte  stop  killing  prosecute  duterte  cohort  end  duterte  dynasty  oustduterte  tara  magpa  orient  anytime   ,Government Policies
2, marcos  duterte  pinagiba  wala  ba  talagang  pinagiba  syempre  meron  pagkakaiba  aabot  si  duterte  21  taon  mapatalsik  taong  bayan  oustduterte   ,Filipino Political News
1, finally  registered  vote  add  1  ballot  oustduterte ,Election
1,   registertovote  halalan2022  oustduterte   ,Filipino Political News
1, investing  country  600k  could  land  billion  gov  contract  let  buy  real  luxury  car  welcome  home  investment  capital  world  crooked  businessmen  pharmally  doh  oustduterte ,Election
1, icymi  earlier  today  university  student  council  together  various  student  formation  member  community  mobilized  quezon  hall  new  semester  begin  firstdayfight  educationisaright  notoupbudgetcut  ligtasnabalikeskwela  oustduterte   ,Filipino Political News
1, huli  kayo  balbon  kawatan  sure  pati  si  tatay  meron  hati  ninakaw  kaban  bayan  oustduterte ,Filipino Political News
1,   oust  duterte  po ,Political stance
1,   basahin  buong  pahayag  firstdayfight  ligtasnabalikeskwela  ligatasnabaliklaboratoryo  defendup  oustduterte   ,Filipino Political News
1, fsupdiliman  pang  patutunguhan  bayan  kundi  singilin  si  duterte  kriminal  kapabayaan  siyang  ibang  kundi  manilbihan  imperyalistang  amo  tumanggap  armas  oustduterte  firstdayrage   ,Filipino Political News
2, ganito  utak  dilawan  ufo  oust  marcos  di  oust  marcos  oust  duterte  hahhay   ,Political stance
1, basahin  buong  pahayag  notoupbudgetcut  ligtasnabalikeskwela  oustduterte ,Filipino Political News
1,   late  say  oustduterte   ,Filipino Political News
2, anakpawis  duterte  bumaba  umalis  diyan  di  mo  rin  lang  kayang  ibigay  mamamayan  mamamayan  nagugutom  magulang  unahin  anak  matuto  pagkain  araw  araw  oustduterte   ,Filipino Political News
1, wow  kala  mo  tlga  artist  anw  proud  rin  d2  perfect  score  ba  naman  mwehe  oustduterte  artph ,Political stance
1, literally  used  facist  fanwars  ma  malalim  tayong  problema  take  bitterness  somewhere  oustduterte ,Filipino Political News
2,   oustduterte  send  2366   ,Filipino Political News
1,   katrinadomingo  remember  di  terorista  matakot  apply  natin  di  corrupt  ayaw  imbestiga  oustduterte  dutertepalpak ,President
1, right  oustduterte ,Filipino Political News
2, oo  nga  naman  scarce  supply  bilis  mag  deliver  mask  pharmally  tapos  ginamit  presyo  srp  got  bulk  wholesale  doh  dookie  tang  ama  nyo  magnanakaw  kayo  duqueresign  oustduterte ,Political stance
2, son  bitch  nearly  expiring  test  kit  yan  sinupply  pharmally  tapos  doh  tanggapin  yan  subpar  quality  worth  whopping  5  billion  peso  putang  inang  doh  yan  oustduterte  duqueresign ,Filipino Political News
1, im  already  seeing  among  loved  one  service  sector  please  use  rage  make  people  vote  push  oustduterte  even  theyre  shaky  ground  issue   ,Filipino Political News
2, mapatalsik  si  duterte  pati  alipores  nagawa  tama  puro  pahirap  ipinararanas  masa  duterte  pahirap  korap  pasista  berdugo  patalsikin  pwesto  sumali  anakbayan  pup  5  5  joinanakbayanpup  oustduterte ,Filipino Political News
1, weh  mo  nga  oust  duterte ,Political stance
1,   sadly  yes   ,Political stance
1, interesting  topic  oustduterte  tonyotalks   ,Filipino Political News
2, hayup  exec  pharmally  tsikot  porsche  lexus  lambo  potah  yan  bata  duterte  oustduterte  duqueresign  jailthesebastards   ,Filipino Political News
1,   nangyayari  pinas  lang  pag  pipilian  mo  either  oustduterte  letlenilead  pag  wala  kang  pag  pipilian  manahimik  lang ,Filipino Political News
1,   oust  duterte  char  hi  ate  hope  could  formulate  title  rooting  sorry  di  po  kasi  magaling  field  yan  hihi  wanted  drop  come  say  hi  po  hihi  ingat  po  lagiiii  hope  u  still  remember   ,Political stance
1, smooth  quick  transfer  voter  registration  oustduterte ,Filipino Political News
1,   oustduterte  endstatefascism ,Filipino Political News
1,   oustduterte  periodt   ,Political stance
1,   oust  duterte  dara  solo  coming ,Political stance
1, si  iza  upb  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte ,Filipino Political News
1,   nadulas  lang  po  slip  tongue  ulol  butiki  oustduterte  wakasanna ,Political stance
1, bakuna  kapalit  pwersang  imperyalista  vfa  operation  bansa  tuloy  rin  junkvfa  ustroopsoutnow  imperyalismoibagsak  defendphsovereignty  dutertuta  oustduterte   ,Filipino Political News
2, bakuna  kapalit  pwersang  imperyalista  vfa  operation  bansa  tuloy  rin  junkvfa  ustroopsoutnow  imperyalismoibagsak  defendphsovereignty  dutertuta  oustduterte   ,Filipino Political News
1, si  july  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte ,Filipino Political News
2, oust  duterte  oustdutertenow ,Political stance
2, iskolar  bayan  lumalaban  bukas  muling  sasabak  panibagong  taon  akademiko  remote  learning  iskolar  bayan  kaguruan  firstdayfight  upkilosna  walangiwananup  ligtasnabalikeskwela  oustduterte   ,President
1,   tangina  snsnndndnsnnd  mali  pala  spell  q ,Political stance
1, si  mavi  lubos  akong  nakikiisa  pagkundina  serye  red  tagging  seminar  isinagawa  planong  isagawa  rtf  elcac  terorismo  paglaban  karapatan  buwagin  ntf  elcac  notoredtagging  abolishntfelcac  oustduterte ,Filipino Political News
1,   firstdayfight  unity  statement  safe  reopening  school  resisting  budget  cut  amplify  call  democratic  right  resist  budget  cut  firstdayfight  notobudgetcut  ligtasnabalikeskwela  defendup  oustduterte ,President
1, join  leading  anti  fascist  alliance  community  rise  tyranny  dictatorship  uprise  orientation  september  18  saturday  6  00  pm  via  zoom  orientation  link  joinuprise  fighttyranny  endstatefascism  oustduterte   ,President
