score,text,Topics
1,   neveragaintomartiallaw  resist  rehabilitation  marcos  family  stop  duterte  creating  another  political  dynasty  oust  duterte   ,Politican Stance
1, remember  49th  anniversary  martial  law  call  justice  victim  marcos  dictatorship  increasing  victim  duterte  de  facto  tyranny  dictator  never  hero  marcosnotahero  notohistoricalrevisionism  oustduterte   ,Politican Stance
1,   neveragain  notohistoricalrevisionism  endimpunity  oustduterte ,Recollection
2, duterte  marcos  pinag  parehong  tuta  diktador  pasista  neveragain  neverforget  dutertepalpak  oustduterte  4  4   ,Recollection
1,   neveragain  bata  militar  marcoshindibayani  mabali  loob  guro  ituro  katotohanan  ipaglaban  katarungan  oustduterte  pinakasulong  hakbang  tunguhing   ,Recollection
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  payapa  lansangan  noong  bata  militar  ayon  amnesty  international  70  000  tao  nabilanggo  34  000  tinortyur  di  3  240  biktima  ejks  neveragain  neverforget  oustduterte ,Recollection
1, tingnan  nagsasagawa  educational  discussion  quezon  hall  iskolar  bayan  kasama  komunidad  martial  law  ngayong  day  remembrance  neveragain  neverforget  upfightsback  oustduterte   ,Recollection
1,   put  anti  communism  nationalism  supported  cia  cia  mind  ousted  marcos  trying  oust  duterte  critically  support  marcos  digong  theyre  anti  u  cause  theyre  anti  communist   ,Politican Stance
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  nasa  1  50  2  per  dollar  forex  nung  marcos  totoo  3  91  per  dollar  nung  siyay  pangulo  20  46  per  dollar  nung  siyay  napatalsik  neveragain  neverforget  oustduterte ,Recollection
1, paulit  ulit  kayo  apologist  dilawan  dd  neveragain  neverforget  oustduterte  haciendamassacre  lugaw  wag  nyo  buhos  mag  dota  kayo  tapos  sea  server  pasok  yang  bar  nyo  voice  chat  trashtalkan  kayo  g   ,Government Policies
1, gonna  lie  bts  filipino  theyd  defo  marcosnotahero  oustduterte  mode  think  twice  still  support  two  madman ,Politican Stance
1, remember  history  resist  historical  negation  upv  college  art  science  student  council  partner  student  council  organization  denounce  lie  assert  truth  martial  law  marcos  regime  neverforget  neveragain  oustduterte   ,Recollection
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  golden  age  ph  marcos  katunayan  nilubog  utang  ekonomiya  natin  neveragain  neverforget  oustduterte ,Recollection
1, baka  naibalik  naman  ok  neveragain  neverforget  oustduterte ,Recollection
1, sinungaling  kapatid  magnanakaw  neveragain  neverforget  martiallaw  oustduterte  liar  brother  thief   ,Recollection
1,   neveragain  martiallaw  oustduterte ,Recollection
1, alzo  di  lang  magbibigay  historical  context  marcos  martial  law  ididiscuss  yung  panitikan  aspect  interesting  bet  mag  p  21  di  nakakuha  slot  primer  niyo   ,Filipino Political News
1, skl  ganda  talk  kasi  makukuha  natin  first  hand  experience  tao  bata  militar  lalo  madedebunk  yung  sinasabing  ma  peaceful  ml  mindanao  yung  kalagayan  worker  lumad ,Recollection
1, bump  lang  bat  sumama  pagkilos  ngayong  neverforget  neveragain  1  3  pm  program  quezon  hall  4  6  pm  program  liwasang  bonifacio  3pm  cssp  forum  abt  literature  martial  law  amp  story  sumifru  worker  lumad  student   ,Recollection
2, never  martial  law  oust  duterte  read  full  statement  dutertewakasan   ,Politican Stance
2, remember  drug  war  grabe  real  problem  like  covid  19  changed  narrative  drug  problem  never  existed  scale  made  win  presidency  oustduterte  nomoremarcos  neveragain ,Government Policies
1, basahin  myth  debunking  infograph  ngayong  anniv  martial  law  neveragain  neverforget  oustduterte ,Recollection
1, stand  always  neveragain  neverforget  marcosnotahero  oustduterte  dapatsileni  letlenilead  ibalikangabscbn  kapamilyaforever   ,Recollection
1, ibang  bansa  nang  face  face  class  naman  nagpapatuloy  rin  anti  mahirap  online  setup  nahuhuli  hayaan  ganito  makiisa  pagkilos  magpaorganisa  ligtasnabalikeskwela  oustduterte ,Government Policies
2, sumama  kilo  portesta  marcos  duterte  pinagiba  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte ,Recollection
1, paggunita  anibersaryo  bata  militar  marcos  ngayong  araw  tunguhin  parehong  lansangang  nagpabagsak  diktadura  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte   ,Recollection
1,   oustduterte   ,Recollection
2, tanginanyo  asan  yung  oustduterte  natin   ,Election
1, ma  mukha  pang  presidente  kesa  presidente  pilipinasnas  paguugali  pananalita  paninindigan  lalong  lalo  naman  tindig  kagwapuhan  katalinuhan  oustduterte ,Election
1, yung  ibang  tao  1  nakiuso  oust  duterte  2  anti  dd  topic  namayapang  convo  3  bio  eh  dd  naks  personality  pala  yon  wag  magbase  uso  makisunod  nlng  majority  research  ur  fact  tsaka  magdecide  manok  mo  anyways  dd  nga  pala  lol ,Politican Stance
2, really  say  oust  duterte   ,Politican Stance
1, sharing  milestone  twitter  world  tunay  nakawitness  struggle  pwede  facebook  thank  keeping  sane  oust  duterte  cutie   ,Politican Stance
1, kasamas  ally  washington  dc  gonna  vigil  tomorrow  night  49th  anniversary  martial  law  philippine  please  attend  oustduterte  katarungan   ,Recollection
1, indifference  dangerous  take  stand  use  voice  act  register  amp  vote  wisely  oustduterte  marcosnotahero  neverforget  neveragain ,Recollection
1, kapagod  today  monday  monday  hay  feeling  oust  duterte  duque  resign  lang  magiging  ok ,Politican Stance
1,   http  lh  hay  oust  duterte  talaga  hahahah ,Politican Stance
1, country  friend  well  put  yang  icc  list  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Election
1,   thats  truth  g  toengi  caroline  kennedy  marcosnotahero  neverforget  neveragain  notomarcos  dutertepalpak  dutertewakasan  oustduterte   ,Recollection
1, get  chicken  sandwich  glazed  donut  bun ,Election
1, filipino  word  trapo  translated  firstly  mean  rag  cloth  piece  without  corruption  dirtied  moral  overtime  human  version  traditional  politician  counting  pacquiao  also  hate  u  lgbtqia  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Politican Stance
1, woohoo  naglalabasan  baho  wonder  anong  baho  ilalabas  dick  5years  dutertes  dog  oustduterte  nodickgordon  halalan2022 ,Government Policies
1, idioterte  say  probe  decade  clean  humanitarian  org  philippine  red  cross  yet  pharmally  company  overpriced  health  product  member  wanted  taiwan  authority  gov  approval  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Election
1, pahanap  po  pakialam  lmaaaao   ,Election
1, yawa  exam  napod  oustduterte  sala  ni  gobyerno  yawa ,Recollection
1,   neverforget  oustduterte   ,Recollection
1, bts  didnt  say  oust  duterte  unga  absolutely  unwatchable   ,Politican Stance
1,   mahal  bansa  oust  duterte  sana  pagbigyan  muna  lacson  isko  pakyaw  si  leni  unity  candidate  tunay  opposition  lng  please   ,Politican Stance
2, shhh  neveragain  communist  npa  jomasison  dutertecorrupt  dutertepanagutin  oustduterte  dutertewakasan  sogiewhenno   ,Recollection
1, hahayaan  pahina  mapawalang  sala  si  duterte  krimen  hahayaan  peryodismo  pagbabago  kasaysayan  pasistang  marcos  neverforget  neveragain  oustduterte ,Recollection
1, dala  galit  naunang  peryodistang  nagtaguyod  tinig  plaridel  pagtuligsa  kahindik  hindik  diktaduryang  tinutuos  bayan  neverforget  neveragain  oustduterte   ,Recollection
1, magpapalitan  lang  ba  condolence  araw  araw  oust  duterte  duque  resign  ba  tama   ,Politican Stance
1, tama  register  vote  oust  duterte   ,Politican Stance
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neverforget  oustduterte ,Recollection
1,   dream  goal  without  anything  shall  develop  talent  gift  fullest  order  serve  neighbor  country  best  ability  edgar  jopson  1966  martiallawcommemoration  oustduterte   ,Election
1, oust  duterte  gago  ipalit  nyo  si  namjoon  jan ,Politican Stance
1, nang  pinapatalsik  tamod  yung  nasa  pamahalaan  magparehistro  bumoto  get  clear  skin  periodt  oustduterte  transformtomorrow ,Recollection
1, kay  marcos  duterte  change  hasnt  come  pinag  martial  law  marcos  tatlong  gyera  pinasinayaan  duterte  gyera  kontra  droga  martial  law  mindanao  anti  terror  law  neveragain  marcosnotahero  oustduterte   ,Recollection
1,   omg  oustduterte ,Recollection
1, matumbasan  pinagsama  samang  tapyas  budget  kaligtasan  pagbabalik  eskwela  2022  budget  ntf  elcac  ligtasnabalikeskwela  abolishntfelcac  oustduterte   ,Recollection
1, iskolar  bayan  kolektibong  balikan  kasaysayan  ilapat  aral  pagpapatuloy  diwa  pakikibaka  tuloy  magkita  kita  bukas  setyembre  21  martes  8  00  pm  tuloyanglaban  marcosnotahero  oustduterte ,Recollection
1,   tuloyanglaban  marcosnotahero  oustduterte  muling  gugunitain  anibersaryo  bata  militar  pasistang  mamamatay  taong  si  marcos  pagtindig  iniimbitahan  dumalo  martial  law  round  table  discussion   ,Recollection
2, engineer  fight  back  pag  alala  diktadura  marcos  paalala  ininhiyero  bayan  pinapatay  giyera  rehimen  palpak  covid  response  pangangailangang  kumilos  labanan  sumama  pagkilos  bukas  neveragain  neverforget  oustduterte   ,Recollection
2, duterte  massacre  king  wakasan  yan  marcosnotahero  oustduterte ,Politican Stance
2, oust  duterte  stop  killing  ligtas  balik  eskwela  defend  ancestral  land  change  system  turn  godforsaken  nation  inside ,Government Policies
1, oust  duterte  weather ,Politican Stance
1, sus  lang  masabing  nakabalik  f2f  kasi  hiyang  hiya  kayo  lang  usad  kasi  kwenta  pandemic  response  nyo  oustduterte ,Recollection
1, discussing  sogie  terrorism  fascist  duterte  philippine  pretend  surprised  oustduterte  abolishtheafp  abolishthepnp ,Politican Stance
1, charot  lang  lord  oust  duterte  muna  tapos ,Politican Stance
1, kaugnay  nananawagan  tulong  pampinansyal  gagamitin  transportasyon  pang  gastusin  halaga  malugod  naming  tatanggapin  maraming  salamat  makibaka  hustisya  bagong  mukha  pasista  marcosnotahero  oustduterte ,Recollection
1,   reactivated  mine  hope  makatulong  man  lang  oust  duterte  voting  sana  kayo  tayong   ,Government Policies
1, true  bestie  oustduterte   ,Recollection
1, usapin  lang  naman  opisyal  pagtatawag  ml  nangyari  mindanao  malawakan  nangyaring  panggigipit  lalo  unyon  lumad  lagi  tingnan  materyal  nangyayari  di  nakasulat  papel  puro  militar  nakaupo  malawakang  pasismo ,Politican Stance
1, want  q  magwork  zaloraaaaaaaaaaaa  feelinn  pag  end  season  sale  laki  discount  zalora  employee  literal  free  lang  yun   ,Politican Stance
1, bukod  natin  klarong  plano  ligtasnabalikeskwela  plano  mass  testing  malawakang  contract  tracing  nilalagay  lang  lalong  mapanganib  sitwasyon  oustduterte  academicbreaknow ,Recollection
1,   oustduterte  hahahahahahahahah ,Recollection
1, halika  samahan  liwasang  bonifacio  setyembre  21  2021  4  pm  tama  wakasan  yan  dumalo  rin  quezon  hall  upd  1  pm  tutulan  budget  cut  pagtanggal  dnd  accord  neverforget  neveragain  oustduterte  dutertewakasan ,Recollection
1,   oust  duterte  marcos  candidacy  enabler  wews   ,Politican Stance
1,   kay  panelo  po  galing  yung  oustduterte  matrix  kasama  si  hidylin  diaz   ,Recollection
1,   de  la  salle  system  anti  duterte  di  ba  sima  la  salle  oust  duterte  matrix   ,Politican Stance
1, lalabas  katotohanan  matobato  lasca  vindicated  stopthekillingsph  oustduterte ,Recollection
1,   png  nyo  pu  ina  nyong  dilawan  pag  gising  nyo  araw  araw  hangang  susunod  election  si  duterte  parin  president  nangyari  oust  duterte  nyo  6  year  lumuha  man  kyo  dugo  tumumbling  paulit  ulit  nga  nga  parin  kyo   ,Government Policies
1, kakayahan  pinag  uusapan  kahirapan  pinag  sasabi  nasa  tamang  pag  iisip  ba  itong  kumag  stopelectingidiots  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustdutertenow  oustduterte2021  oustduterte ,Recollection
1,   first  time  ba  prrd  sumali  high  level  discussion  president  leader  buong  mundo  di  mo  alam  televised  meeting  pinag  attend  prrd  oo  nga  pala  puro  oustduterte  masstestingnow  dutertepalpak  katangahan  lang  pala  alam  nyo   ,Recollection
1, oustduterte  continually  failed  dontrunrody  lang   ,Recollection
1,   apresto  hoy  oust  duterte  yes  vaccine  mask  karen  karen  hahahahaha  lt  anti  vaccine  mask  whahahah ,Politican Stance
1,   say  oust  duterte  fl ,Politican Stance
1, sobrang  naiistress  hahahaha  manifest  lang  oras  oras  hahshhaha  oustduterte  tanginamobonggo  tanginamobriones ,Recollection
1, kabataan  volunteer  community  organizing  sumali  kolektibang  sumama  pagpapatalsik  kay  marcos  sumama  pagkilos  21  1  3  pm  program  quezon  hall  4  6  pm  tama  wakasan  liwasang  bonifacio ,Election
1, statement  nagiging  powerful  revolutionary  sinasabayan  pagtatatag  organisasyon  tumitindig  pasismo  pinapalakas  komunidad  di  madali  nagpapakatatag  kasama  kolektiba  natin ,Politican Stance
1, uncompromising  take  primarya  ground  mass  movement  mamalagi  diktador  hamon  estudyante  paggunita  bata  militar  dumikit  mamamayan  nag  oorganisa  nagpapakilos  kasama ,Election
1, experience  kanina  napatanong  nalang  ba  estudyante  di  bumalik  diktador  eh  certain  unity  naman  liberal  unibersidad  ayaw  kay  marcos  anlawak  martial  law  mob  noong  nilibing  si  marcos   ,Filipino Political News
2, tangina  war  flashback  nung  elem  day  hhahahaha  umaga  natae  brief  tapos  hapon  naglinis  pwet  kase  nahihiya  magsabe  ahhahaa  ending  matigas  tutong  yung  tae  noong  hapon  hahahahahahah ,Filipino Political News
1, pag  uwi  hiningian  thought  statement  ipopost  student  org  martial  law  tinanong  syempre  targeted  post  student  ok  naman  content  dulo  need  patampukin  historical  thinking  ganon  di  mamalagi  dictator ,Politican Stance
1, naman  kasi  paliwanagan  naintindihan  naman  pagpapalakas  organisasyon  magtutulak  makabuluhang  pagbabago  nga  g  g  komyu  mag  recruit  palawakin  campaign  altho  di  fully  anti  marcos  anti  du30  arawan  naman  struggle ,Politican Stance
1, point  lang  alam  taong  ginigipit  araw  araw  nating  karanasan  dahas  baril  man  yan  exploitation  putol  pag  expose  systematic  nature  estado  pangulo  nitong  burgesya  naghahasik  malawakang  dahas  amp  pasismo ,Government Policies
1, noong  tinanong  ba  nararanasan  pasismo  di  nagets  noong  napaliwanag  panggigipit  ta  dami  binahagi  pagkait  ayuda  pagredtag  community  pantry  introduce  lang  salita  sinasaklaw  lived  experience ,Filipino Political News
1, latag  datos  abt  bata  militar  napnood  nga  rin  interview  toni  eh  takeaway  mali  benefit  doubt  hopefully  di  sundan  tatay  pumatay  okay  naman  yung  development  project ,Filipino Political News
1, eme  essay  writing  toni  marcos  history  interview  thing  narealize  lang  yung  tinuro  2  yr  ago  gawaing  propaganda  lang  arouse  kundi  organize  mobilize  rin  kanina  ed  martial  law  komyu  iboboto  si  marcos   ,Filipino Political News
2, meanwhile  vast  proof  continue  adding  duterte  people  jailed  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Election
2, putanginaaaa  kayo  nakakaipon  6  digit  5digits  hirap ,Filipino Political News
1,   la  salle  sytem  denouncing  duterte  admin  dinamay  nga  oust  duterte  matrix   ,Politican Stance
1, say  oust  duterte  next ,Politican Stance
1, filipino  moo  please  let  u  register  vote  eligible  30th  registration  end  exercise  right  vote  let  u  uphold  freedom  democracy  registertovote  democracy  oustduterte  marcosnotahero ,Election
1, bagal  j  amp  fuck ,Election
1, ok  right  run  presidency  matutong  tumanggap  pagkatalo  ha   ,Government Policies
1, handa  ba  day  2  back  2  skul  ed  fest  nga  ba  dahilan  kampanyang  oustduterte  alamin  bukas  ika  2  hapon  ouster  primer  magpa  rehistro  link  back2skuledfest  siyentistangbayanngayonaylumalaban   ,Filipino Political News
1, ngunit  panahong  pinakamadali  nang  makumbinsi  malawak  hanay  masa  lagutin  marahas  pamahalaan  pagkat  wala  nang  mawawala  ninakaw  basahin  editoryal  oustduterte ,Recollection
1, patunay  pinagkaiba  si  duterte  kay  marcos  parehas  diktador  pasista  pakundangan  karapatang  pantao  sambayanang  pilipino  abolishntfelcac  defundntfelcac  oustduterte ,Recollection
1,   neveragain  oustduterte ,Recollection
1,   oustduterte ,Recollection
1,   sabay  oust  duterte  nnman  yan  malamang  sarap  pagssapukin   ,Politican Stance
1, put  amount  usd  sovereign  debt  servicing  usd  neveragain  nobody  service  debt  di  nya  napakinabangan  suffering  bibigyan  mo  ba  sakit  ulo  descendant  mo  never  oustduterte ,Recollection
1,   tatakmarcosmandarambong  tatakmarcossinungaling  tatakmarcosmagnanakaw  tatakmarcosmagnanakaw  tatakmarcosmamemeke  neverforget  neveragain  stopelectingmarcos  wedeservebetter  kerinileni  silenidapat  letlenilead  registerandvote  registerandvotewisely  oustduterte ,Recollection
1, concerta  terrible  switched  dexedrine  thought  working  even  dose  increase  shit   ,Politican Stance
1, tangina  niyo  gisingggg  golden  age  nga  lol  neveragain ,Recollection
1, lisa  lisa  say  oustduterte   ,Recollection
1, really  blame  people  insisting  going  work  masama  pakiramdam  pag  maasahan  gobyerno  magkakanya  lang  tao  expense  health  amp  people  around  hope  dutae  ilk  suffers  long  hard  oustduterte ,Filipino Political News
1, happening  today  join  u  kasamas  uk  commemorate  49th  year  martial  law  declaration  today  2pm  saint  church  battersea  london  sw11  4bd  view  location  using  link  neveragain  martiallaw  oustduterte   ,Filipino Political News
1,   chdmngo  time  blinded  lie  marcoses  mahalaga  natututo  history  never  marcoses  ever  byen  sandro  ditmo  hahaha  chos ,Filipino Political News
2,   wala  posas  posas  bang  toda  namamasada  lang  naman  bente  kuwatro  oras  oust  duterte ,Politican Stance
2, still  duterte  gd  ya  dutertepalpak  oustduterte  dutertelegacy  dutertecorrupt   ,Election
1,   lover  people  freedom  express  concern  criticize  imposing  belief  others  account  choice   ,Filipino Political News
2, anti  vaxxer  plus  anti  masker  plus  dd  shade  red  flag  oustduterte  votewiselythis2022  wearmasks  maskssavelives  getvaccinatednow ,Recollection
1, pwedeng  manahimik  lang  mariel   ,Election
1, good  mornight  oustduterte  oustdutertenow ,Recollection
1, kaka  oust  duterte  ata  mauunang  oust  ah  hahaha ,Politican Stance
1, 11  11  oust  duterte ,Politican Stance
2, dutertes  cop  zero  respect  human  life  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Election
1, oust  duterte  cutie   ,Politican Stance
1, magpapatuloy  lumakas  lumalawak  lumalaban  sumali  anakbayan  plm  mag  sign  google  form  joinanakbayanplm  oustduterte  6  6   ,Recollection
1,   4withsun  tama  oust  duterte  po   ,Politican Stance
1, putangina   ,Election
1, much  shit  head  hand  literally  cant  sleep  w  thinking  abt  thing  done  bc  cant  fucken  rn  im  made  think  im  one ,Politican Stance
1,   elena  oust  duterte  episode  987654321234556788990 ,Politican Stance
2,   tang  ina  bat  di  inform  oust  duterte  talaga  di  disseminate  maayos  yung  news   ,Politican Stance
1, wala  kaming  naramdaman  bukod  ubo  ingat  talaga  covid  sobrang  silent  killer   ,Filipino Political News
2,   laman  ngem  nag  clueless  met   ,Recollection
1, feeling ,Election
1, miss  f2f  grabe  oustduterte ,Recollection
1, cannot  fucking  breathe  life ,Filipino Political News
1, atenean  people  poet  awakened  mass  messiah  among  worker  peasant  lost  generation  found  true  home  eman  lacaba  1976  martiallawcommemoration  oustduterte   ,Recollection
1,   oustduterte ,Recollection
1,   uuuuuuyyyy  rin  yan  bumibiling  bolpen  ta  nilalagay  oust  duterte  ganern  hahaha ,Politican Stance
1, panoorin  ika  49  anibersaryo  martial  law  saksi  kasaysayan  diktaduryang  duterte  wakasan  online  forum  fb  page  anakbayan  metro  baguio  5pm  bukas  mlnoonatngayon  neveragain  dutertewakasan  oustduterte   ,Recollection
1, difference  ninoy  leloy  former  open  alliance  oust  dictator  hence  call  legalization  latter  want  legalization  eliminate  instead  forming  oust  alliance  oust  duterte  paingay  lang  ganern   ,Politican Stance
1, admits  apologizes  say  oustduterte   ,Recollection
1,   nag  dye  nga  mare  itim  mag  blotch  tong  bleach  buhok ,Election
1, coworker  called  weina  im  sige  next  yr  nagrresign ,Election
2, oust  duterte ,Politican Stance
2, registered  ready  po  fucking  oustduterte   ,Recollection
2,   c  u  sabotaging ,Election
2, wala  talagang  alam  hiyang  kundi  takutin  pagbayarin  tao  kapabayaan  gobyerno  kayo  pananagutan  bayan  kayo  kailangang  pagbayaran  kapal  kapal  kapal  ninyong  oustduterte   ,Recollection
1,   lover  ironically  youre  imposing  person  youre  talking  parang  paradox  tolerance  lang  yan  pinagkaiba  niyong  lean  side  marcos  enabler   ,Filipino Political News
1,   dd  poon  kinukunsinti  merong  nagawang  mali  oona  oona  sige  tama  naman  palage  eh  oustduterte ,Recollection
2, camper  ata  comelec  eh  bawi  6  year  lang  oustduterte  padin ,Government Policies
1,   people  power  covid  nung  covid  be  nyo  n  yan  sinubukan  kaso  gumana  5yrs  n  oust  duterte  pro  nga  nga  p  kau   ,Politican Stance
1, want  q  nagkulay  uli  buh0k  bak3t  kasi  dinye  itim  t0   ,Election
1,   yakap  sist   ,Election
2,   oustduterte  oustduterte  oustduterte  oustduterte  oustduterte  oustdutertenow ,Recollection
2, convo  friend  feel  contrast  event  u  sorrowful  tayong  sanay  buhay  pilipinas  akala  natin  normal  magaadjust  huling  huli  oustduterte   ,Election
2,   oustduterte   ,Recollection
2, listen  political  self  political  self  oustduterte  chos  gitzzkosariliko ,Election
1, posting  version  edits  bc  im  indecisive   ,Politican Stance
1, papagod  talaga  putangina  universe  pls  pag  bigyan  niyo ,Filipino Political News
2,   oustduterte  nyo  twitter  lang  hahahah ,Election
2,   ma  tanga  oustduterte  waley  naman  di  k  dilawan  boboto  mo  dilaw  talunan ,Election
2, taragis  kahiya  naman  buhay ,Election
1,   msta  nman  oustduterte  mo  kelan  final  season  matatapos  n  lng  si  digong  nga  pala  yung  dilaw  mo  ocho  derecho  inidoro  uli   ,Recollection
2, wtf  ntf  elcac  gagago  niyo  notoredtagging  abolishntfelcac  oustduterte ,Recollection
1, grabe  judgement  mahalaga  sanay  mag  bike  doesnt  matter  lang  bike ,Election
2, tingnan  nagsindi  kandila  masa  pag  alala  pinaslang  rehimeng  duterte  namamanata  mamamayang  pilipino  muling  pagkabuhay  martir  patuloy  pakikibaka  kasama  masa  buhay  ganap  kasiya  carrythecross  oustduterte   ,Recollection
2, lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak   ,Politican Stance
1,   lmao  pro  admin  pro  filipino  get  criticizing  critic  duterte  make  duterte  supporter  oustduterte  dutertepalpak ,Politican Stance
1, actually  ekis  bumaba  bus  oritgas  ta  aakyat  sobrang  taas  mrt  station  maglalakad  til  half  ta  iikot  makatawid  papunta  megamall  side  tanginang  daanan  sideways  lang  magkakasya ,Election
1, abadilla  also  condemned  lack  support  student  personnel  university  enters  second  year  distance  learning  defendup  oustduterte ,Government Policies
2, get  know  leading  anti  fascist  network  community  join  uprise  uprise  orientation  september  18  saturday  6  00  pm  via  zoom  orientation  link  joinuprise  fighttyranny  endstatefascism  oustduterte   ,Filipino Political News
1, g  g  si  kristine  joy  xd  eme  patuloy  kalampagin  admin  dinggin  panawagan  estudyante  propesor  manggagawa  pamantasan  patalsikin  puno  dulo  paghihirap  natin  oustdutertenow  kilosnaup  ligtasnabalikeskwela  notobudgetcuts  oustduterte ,Recollection
2, atenean  freedom  fighter  freedom  fighter  one  fight  without  gun  resist  dictatorship  way  demand  give  best  talent  time  effort  nothing  le  ferdie  arceo  martiallawcommemoration  oustduterte   ,Filipino Political News
2, dropping  twitter  4  month  want  say  tangina  mo  bong  go  oustduterte   ,Politican Stance
2, sumali  youth  unbound  southern  tagalog  patalsikin  natin  si  duterte  stop  killing  prosecute  duterte  cohort  end  duterte  dynasty  oustduterte  tara  magpa  orient  anytime   ,Politican Stance
2, marcos  duterte  pinagiba  wala  ba  talagang  pinagiba  syempre  meron  pagkakaiba  aabot  si  duterte  21  taon  mapatalsik  taong  bayan  oustduterte   ,Recollection
1, finally  registered  vote  add  1  ballot  oustduterte ,Election
1,   registertovote  halalan2022  oustduterte   ,Recollection
1, investing  country  600k  could  land  billion  gov  contract  let  buy  real  luxury  car  welcome  home  investment  capital  world  crooked  businessmen  pharmally  doh  oustduterte ,Election
2, icymi  earlier  today  university  student  council  together  various  student  formation  member  community  mobilized  quezon  hall  new  semester  begin  firstdayfight  educationisaright  notoupbudgetcut  ligtasnabalikeskwela  oustduterte   ,Recollection
